,array4j.csv,mule.csv,sblim.csv,piccolo2d.csv,jbpm.csv,calcubetimer.csv,jgossipforum.csv,joustsim.csv,madman.csv,bigdata.csv,jas.csv,nunit.csv
array4j.csv,0.44,0.21,0.36,0.54,0.54,0.89,0.8,0.73,0.12,0.81,0.88,0.5
bigdata.csv,0.38,0.78,0.18,0.23,0.48,0.27,0.2,0.27,0.88,0.76,0.5,0.52
calcubetimer.csv,0.31,0.36,1.0,1.0,0.75,0.88,0.0,0.73,0.38,0.36,0.0,0.4
jas.csv,0.25,0.12,0.68,0.0,0.6,0.21,1.0,0.18,0.75,0.35,0.88,0.2
jbpm.csv,0.12,0.03,0.09,0.0,0.73,0.02,0.0,0.09,0.0,0.08,0.0,0.08
jgossipforum.csv,0.25,0.41,0.55,0.15,0.17,0.18,1.0,0.36,0.75,0.16,0.0,0.32
joustsim.csv,0.19,0.72,0.82,0.31,0.69,0.39,1.0,0.91,0.88,0.44,0.62,0.72
madman.csv,0.69,0.4,0.86,0.15,0.21,0.38,0.2,0.36,1.0,0.09,0.25,0.15
mule.csv,0.44,0.68,0.23,0.85,0.85,0.62,0.6,0.73,0.62,0.46,0.62,0.8
nunit.csv,0.38,0.32,0.18,0.62,0.85,0.46,0.8,0.36,0.25,0.52,0.25,0.65
piccolo2d.csv,0.44,0.25,0.41,0.92,0.62,0.45,0.0,0.55,0.62,0.21,0.0,0.38
sblim.csv,0.25,0.52,0.77,0.85,0.44,0.23,0.0,0.55,0.62,0.13,0.12,0.45
