,kdenlive.csv,jmri.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,plplot.csv,wishmaster.csv,motu.csv,projectfactory.csv,amygdala.csv,dspace-gsoc.csv,runuomondains.csv,somap.csv,tigermud.csv,hydrate.csv,cme.csv
algebsql.csv,0.93,0.66,0.84,0.79,0.17,0.86,0.69,0.81,0.9,0.89,0.81,0.97,0.96,0.89,0.85,0.6
amygdala.csv,0.61,0.69,0.78,0.93,1.01,0.86,0.86,1.0,0.84,0.42,0.69,0.88,0.81,0.66,0.82,1.05
cme.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.92,1.01,1.0,0.91,0.94,0.02
dspace-gsoc.csv,0.5,0.96,0.65,0.89,0.9,0.51,0.68,0.89,0.95,0.59,0.43,0.4,1.0,0.72,0.53,0.72
hydrate.csv,0.65,0.6,0.71,1.01,0.77,0.59,0.81,0.85,0.82,0.87,0.74,0.74,0.85,0.75,0.62,0.69
ivef-sdk.csv,0.77,0.6,0.8,0.0,0.98,1.01,0.82,1.0,0.77,0.95,0.81,1.0,1.11,0.89,0.97,0.67
jmri.csv,0.6,0.47,0.96,0.43,0.75,0.51,0.88,0.8,0.68,0.7,0.87,0.56,0.71,0.86,0.79,0.92
kdenlive.csv,0.41,0.66,0.72,1.14,0.82,0.5,0.54,0.51,0.67,0.62,0.8,0.66,0.51,0.67,0.7,0.52
motu.csv,0.52,0.69,0.64,0.55,0.92,0.5,0.53,0.43,0.95,0.67,0.81,0.77,1.02,0.71,0.67,0.65
plplot.csv,0.57,0.69,0.87,1.1,0.8,0.38,0.77,0.79,0.69,0.81,0.73,0.82,0.71,0.83,0.81,1.0
projectfactory.csv,0.67,0.62,0.54,0.95,0.73,0.55,0.98,0.7,0.6,0.6,0.76,0.46,0.7,0.63,0.59,0.68
runuomondains.csv,0.42,0.61,0.83,0.97,0.82,0.45,0.66,0.71,0.89,0.82,0.77,0.22,0.58,0.91,0.7,0.92
somap.csv,0.93,0.82,0.83,1.08,0.75,0.88,0.93,0.98,0.88,0.94,1.0,0.94,0.18,0.95,1.0,0.81
taverna.csv,0.65,0.9,0.41,0.93,0.57,0.69,0.69,0.78,0.74,0.55,0.94,0.88,0.67,0.91,0.8,1.01
tigermud.csv,0.88,0.81,0.61,1.0,0.97,0.95,1.01,0.96,0.91,0.98,0.86,0.7,0.75,0.53,0.75,1.03
wishmaster.csv,0.57,0.71,0.81,0.51,0.98,0.72,0.33,0.85,0.67,0.65,0.84,0.53,0.75,0.89,0.94,0.69
