,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,qedo.csv,jruby.csv
abbot.csv,0.87,0.62,0.83,0.91,0.37,0.64,0.75,0.0,0.96,0.33,0.66
haphazard.csv,0.87,0.9,0.94,0.93,0.69,0.95,0.51,0.82,0.0,0.56,0.91
jicarilla.csv,0.97,1.0,0.06,0.94,1.0,0.95,0.92,0.81,0.85,0.73,0.94
jruby.csv,0.59,0.88,0.71,0.89,0.84,0.77,0.79,0.72,0.76,0.9,0.0
optalgtoolkit.csv,0.54,0.69,0.96,0.54,0.52,0.11,0.82,0.74,0.91,0.91,0.8
ossim.csv,1.0,1.0,1.0,0.06,1.0,1.0,0.97,1.0,1.0,1.02,1.0
projectts.csv,0.7,0.96,0.67,0.64,0.8,0.95,0.0,0.84,0.52,0.9,0.92
qedo.csv,0.73,0.94,0.73,0.82,1.0,0.86,0.79,0.89,0.92,0.05,0.97
sabbu.csv,0.07,0.82,1.0,0.61,0.67,0.71,0.67,0.89,0.86,0.81,0.7
vxl.csv,0.9,0.08,0.76,1.0,0.88,0.95,0.86,1.0,0.86,0.53,0.84
zact.csv,0.91,1.0,1.0,1.0,0.0,0.66,1.0,0.66,0.92,0.87,1.0
