,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,qedo.csv,jruby.csv
abbot.csv,5.0,0.0,2.0,100.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0
haphazard.csv,3.0,21.0,3.0,59.0,7.0,1.0,1.0,0.0,0.0,6.0,0.0
jicarilla.csv,0.0,150.0,1.0,16.0,125.0,0.0,2.0,0.0,1.0,0.0,0.0
jruby.csv,3.0,0.0,2.0,12.0,29.0,3.0,4.0,0.0,8.0,0.0,0.0
optalgtoolkit.csv,0.0,0.0,2.0,32.0,6.0,0.0,0.0,0.0,10.0,60.0,1.0
ossim.csv,111.0,150.0,69.0,0.0,125.0,49.0,0.0,61.0,64.0,260.0,144.0
projectts.csv,1.0,0.0,3.0,21.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0
qedo.csv,0.0,0.0,1.0,26.0,125.0,2.0,0.0,0.0,0.0,0.0,0.0
sabbu.csv,0.0,0.0,69.0,38.0,10.0,0.0,2.0,2.0,6.0,3.0,0.0
vxl.csv,5.0,0.0,4.0,83.0,14.0,2.0,1.0,1.0,2.0,0.0,0.0
zact.csv,2.0,150.0,69.0,281.0,0.0,4.0,63.0,0.0,0.0,7.0,144.0
