,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,qedo.csv,jruby.csv
abbot.csv,0.48,0.32,0.38,0.04,0.13,0.44,0.56,1.0,0.09,0.21,0.9
haphazard.csv,0.38,0.15,0.4,0.02,0.06,0.5,0.77,0.89,1.0,0.23,0.86
jicarilla.csv,0.4,0.0,0.94,0.04,0.0,1.0,0.6,0.75,0.5,0.55,1.0
jruby.csv,0.6,0.26,0.48,0.04,0.04,0.34,0.52,0.7,0.19,0.04,1.0
optalgtoolkit.csv,0.72,0.26,0.2,0.09,0.09,1.0,0.5,0.69,0.11,0.04,0.84
ossim.csv,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
projectts.csv,0.66,0.25,0.5,0.08,0.05,0.36,1.0,0.64,0.3,0.08,0.85
qedo.csv,0.58,0.12,0.75,0.09,0.0,0.33,0.56,0.83,0.33,0.95,0.67
sabbu.csv,0.98,0.19,0.0,0.08,0.06,0.38,0.67,0.58,0.13,0.07,0.88
vxl.csv,0.42,1.0,0.53,0.01,0.04,0.33,0.59,0.69,0.22,0.14,0.86
zact.csv,0.33,0.0,0.0,0.0,1.0,0.44,0.0,0.84,1.0,0.1,0.0
