,jicarilla.csv,bacula.csv,pentahoanalysistool.csv,foursquared.csv,bdbbasic.csv,open-data-kit.csv,yafdotnet.csv,impala.csv,turbotrader-bos.csv,ultimairis.csv,tradelink.csv,wikipediardware.csv,ng4j.csv
bacula.csv,0.83,0.59,0.77,0.77,0.76,0.68,0.76,0.9,0.56,0.61,0.69,0.72,0.73
bdbbasic.csv,0.95,0.92,0.78,0.8,0.31,0.7,0.86,0.72,0.69,0.63,0.64,1.0,0.68
foursquared.csv,1.0,1.0,1.0,0.26,1.0,0.99,0.95,1.0,0.63,0.89,0.79,0.97,1.0
impala.csv,0.55,0.71,0.83,0.66,0.76,0.87,0.85,0.49,0.81,0.92,0.78,0.69,0.87
jicarilla.csv,0.23,0.99,0.91,1.01,1.0,0.98,0.97,1.0,0.95,0.92,1.0,1.0,0.97
ng4j.csv,1.02,0.64,0.57,0.52,0.44,0.56,0.53,0.91,0.63,0.77,0.62,0.65,0.32
open-data-kit.csv,0.93,0.6,0.88,1.0,1.0,0.28,0.72,0.85,0.79,0.86,0.62,0.51,0.68
pentahoanalysistool.csv,0.8,0.73,0.43,0.45,0.57,0.64,0.85,0.84,0.79,0.9,0.9,0.77,0.72
tradelink.csv,0.8,0.59,0.87,0.72,0.74,0.83,0.79,0.93,0.82,0.87,0.37,0.84,0.61
turbotrader-bos.csv,1.03,0.56,0.59,0.56,0.42,0.81,0.74,0.79,0.37,0.8,0.62,0.83,0.63
ultimairis.csv,0.92,0.88,0.67,0.66,0.49,0.51,0.77,0.75,0.56,0.38,0.67,1.0,0.5
wikipediardware.csv,0.89,0.88,0.57,0.81,0.7,0.68,0.84,0.95,0.8,0.88,0.83,0.3,0.76
yafdotnet.csv,0.99,0.57,0.67,0.74,0.69,0.66,0.41,0.81,0.57,0.57,0.78,0.89,0.6
