,jicarilla.csv,bacula.csv,pentahoanalysistool.csv,foursquared.csv,bdbbasic.csv,open-data-kit.csv,yafdotnet.csv,impala.csv,turbotrader-bos.csv,ultimairis.csv,tradelink.csv,wikipediardware.csv,ng4j.csv
bacula.csv,0.39,0.73,0.35,0.39,0.34,0.68,0.41,0.1,0.43,0.4,0.24,0.74,0.25
bdbbasic.csv,0.49,0.89,0.33,0.36,0.58,0.68,0.37,0.12,0.35,0.39,0.41,0.0,0.27
foursquared.csv,0.0,0.0,0.0,0.69,0.0,0.5,0.62,0.0,0.67,0.71,0.4,1.0,0.0
impala.csv,0.6,0.67,0.26,0.38,0.25,0.56,0.37,0.25,0.3,0.28,0.21,0.74,0.24
jicarilla.csv,0.79,0.33,0.21,0.0,0.0,0.27,0.21,0.0,0.15,0.17,0.0,0.0,0.08
ng4j.csv,0.15,0.71,0.41,0.48,0.61,0.83,0.53,0.06,0.4,0.3,0.24,0.88,0.52
open-data-kit.csv,0.35,0.75,0.33,0.34,0.28,0.87,0.48,0.08,0.37,0.32,0.25,0.83,0.3
pentahoanalysistool.csv,0.43,0.7,0.51,0.51,0.45,0.78,0.6,0.1,0.29,0.38,0.18,0.73,0.4
tradelink.csv,0.46,0.78,0.33,0.38,0.71,0.65,0.41,0.12,0.34,0.75,0.38,1.0,0.32
turbotrader-bos.csv,0.0,0.75,0.39,0.65,0.55,0.79,0.6,0.1,0.6,0.43,0.24,0.78,0.42
ultimairis.csv,0.36,0.69,0.39,0.41,0.41,0.74,0.42,0.11,0.43,0.58,0.22,0.73,0.38
wikipediardware.csv,0.41,0.69,0.42,0.37,0.33,0.69,0.44,0.11,0.36,0.29,0.17,0.93,0.28
yafdotnet.csv,0.15,0.75,0.37,0.38,0.6,0.67,0.64,0.1,0.42,0.39,0.17,1.0,0.32
