,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv
blogentis.csv,0.8,0.71,0.83,0.64,0.0,0.71,0.69,1.0,0.73,0.73,0.66,0.68
emulemorph.csv,0.83,1.0,1.0,1.05,0.85,0.73,1.01,1.0,0.0,1.02,0.95,1.02
jaxen.csv,1.0,1.0,0.88,0.65,0.96,1.0,1.04,0.0,0.52,0.86,0.98,1.0
jvcl.csv,1.0,1.0,0.06,1.0,0.97,1.0,1.01,0.8,1.0,1.0,1.0,1.0
m-m-m.csv,0.75,0.98,1.0,0.87,0.97,0.0,0.66,0.98,0.96,0.64,0.97,0.84
motu.csv,0.67,0.63,0.83,0.74,0.64,0.71,1.0,0.91,0.86,0.02,0.63,1.06
nh3d.csv,0.98,0.0,0.72,0.51,0.66,0.98,0.44,0.32,0.56,0.78,0.79,1.02
sarasvati.csv,0.97,1.0,0.82,0.0,0.96,0.92,1.0,0.43,1.0,0.7,0.97,1.0
wgs-assembler.csv,0.1,0.29,0.72,0.56,0.79,0.89,0.84,0.44,1.03,0.68,0.66,1.02
zabbix.csv,0.96,0.96,0.95,0.73,0.59,0.92,0.57,0.57,0.85,0.86,0.02,1.23
