,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv
blogentis.csv,0.52,0.6,0.49,0.48,1.0,0.39,0.69,0.0,0.57,0.59,0.4,0.7
emulemorph.csv,0.21,0.0,0.0,0.0,0.2,0.37,0.0,0.0,1.0,0.0,0.06,0.0
jaxen.csv,0.0,0.0,0.15,0.41,0.05,0.0,0.0,1.0,0.55,0.18,0.02,0.0
jvcl.csv,0.0,0.0,0.95,0.0,0.05,0.0,0.0,0.24,0.0,0.0,0.0,0.0
m-m-m.csv,0.43,0.09,0.0,0.43,0.13,1.0,0.72,0.09,0.23,0.71,0.17,0.49
motu.csv,0.42,0.65,0.51,0.31,0.49,0.39,0.0,0.35,0.2,1.0,0.42,0.0
nh3d.csv,0.04,1.0,0.35,0.58,0.42,0.02,0.86,0.91,0.53,0.35,0.26,0.0
sarasvati.csv,0.04,0.0,0.4,1.0,0.05,0.12,0.0,0.64,0.0,0.36,0.04,0.0
wgs-assembler.csv,0.92,0.77,0.46,0.57,0.29,0.15,0.49,0.63,0.0,0.53,0.41,0.0
zabbix.csv,0.17,0.37,0.21,0.59,0.58,0.33,0.79,0.7,0.45,0.44,0.98,0.0
