,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv
blogentis.csv,6.0,0.0,5.0,2.0,0.0,0.0,42.0,86.0,22.0,12.0,1.0,59.0
emulemorph.csv,2.0,355.0,158.0,169.0,8.0,0.0,61.0,86.0,0.0,58.0,1.0,103.0
jaxen.csv,108.0,355.0,2.0,4.0,0.0,60.0,61.0,0.0,8.0,3.0,0.0,103.0
jvcl.csv,108.0,355.0,0.0,169.0,9.0,60.0,61.0,5.0,109.0,58.0,161.0,103.0
m-m-m.csv,6.0,0.0,10.0,21.0,14.0,0.0,40.0,68.0,38.0,7.0,0.0,76.0
motu.csv,1.0,35.0,4.0,17.0,7.0,0.0,61.0,66.0,0.0,0.0,0.0,103.0
nh3d.csv,3.0,0.0,1.0,12.0,0.0,0.0,27.0,20.0,22.0,3.0,0.0,103.0
sarasvati.csv,0.0,355.0,6.0,0.0,0.0,0.0,61.0,9.0,109.0,0.0,0.0,103.0
wgs-assembler.csv,0.0,0.0,10.0,36.0,7.0,0.0,51.0,9.0,109.0,11.0,0.0,103.0
zabbix.csv,6.0,0.0,15.0,25.0,0.0,0.0,35.0,35.0,33.0,12.0,0.0,103.0
