,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv
blogentis.csv,0.69,0.75,0.69,0.45,1.0,0.35,1.0,0.0,0.67,0.77,0.35,1.0
emulemorph.csv,0.18,0.0,0.0,0.0,0.17,0.33,0.0,0.0,1.0,0.0,0.05,0.0
jaxen.csv,0.0,0.0,0.12,0.36,0.04,0.0,0.0,1.0,0.5,0.15,0.02,0.0
jvcl.csv,0.0,0.0,0.94,0.0,0.04,0.0,0.0,0.2,0.0,0.0,0.0,0.0
m-m-m.csv,0.41,1.0,1.0,1.0,0.96,1.0,1.0,1.0,0.83,0.92,0.85,1.0
motu.csv,0.38,0.75,1.0,0.27,0.46,0.35,0.0,0.8,0.17,1.0,0.37,0.0
nh3d.csv,0.03,1.0,0.31,0.55,0.38,0.02,1.0,1.0,0.5,0.31,0.22,0.0
sarasvati.csv,0.03,0.0,0.38,1.0,0.04,0.1,0.0,0.6,0.0,0.31,0.03,0.0
wgs-assembler.csv,0.9,0.75,0.44,0.55,0.25,0.12,1.0,0.6,0.0,0.54,0.37,0.0
zabbix.csv,0.97,0.5,0.94,0.73,0.58,0.8,1.0,0.8,0.83,0.85,0.98,0.0
