,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv
blogentis.csv,0.74,0.66,0.77,0.34,0.0,0.3,0.69,0.1,0.64,0.7,0.14,0.68
emulemorph.csv,0.13,0.0,0.06,0.32,0.17,0.3,0.16,0.0,0.0,0.17,0.01,0.18
jaxen.csv,0.0,0.0,0.05,0.11,0.04,0.0,0.3,0.0,0.14,0.13,0.0,0.03
jvcl.csv,0.0,0.0,0.0,0.04,0.13,0.0,0.11,0.06,0.0,0.07,0.0,0.03
m-m-m.csv,0.46,0.98,1.0,0.87,0.97,0.0,0.66,0.98,0.94,0.63,0.96,0.84
motu.csv,0.26,0.58,0.83,0.11,0.33,0.3,0.03,0.89,0.22,0.02,0.07,0.34
nh3d.csv,0.04,0.0,0.21,0.23,0.2,0.0,0.44,0.32,0.26,0.37,0.04,0.19
sarasvati.csv,0.0,0.0,0.52,0.0,0.0,0.2,0.02,0.17,0.01,0.07,0.0,0.01
wgs-assembler.csv,0.0,0.14,0.45,0.32,0.26,0.1,0.84,0.18,0.24,0.5,0.21,0.22
zabbix.csv,0.96,0.82,0.95,0.67,0.42,0.9,0.57,0.54,0.84,0.85,0.0,0.72
