,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv
blogentis.csv,0.46,0.02,0.16,0.14,1.0,0.5,0.05,0.0,0.1,0.36,0.45,0.03
emulemorph.csv,0.25,0.0,0.0,0.0,0.2,0.48,0.0,0.0,1.0,0.0,0.09,0.0
jaxen.csv,0.0,0.0,0.16,0.24,0.07,0.0,0.0,1.0,0.25,0.19,0.03,0.0
jvcl.csv,0.0,0.0,0.97,0.0,0.06,0.0,0.0,0.18,0.0,0.0,0.0,0.0
m-m-m.csv,0.37,0.02,0.18,0.14,0.4,1.0,0.05,0.11,0.09,0.44,0.52,0.02
motu.csv,0.42,0.03,0.21,0.19,0.38,0.5,0.0,0.1,0.07,0.96,0.5,0.0
nh3d.csv,0.05,1.0,0.2,0.22,0.38,0.04,0.07,0.28,0.17,0.24,0.34,0.0
sarasvati.csv,0.05,0.0,0.12,1.0,0.08,0.17,0.0,0.27,0.0,0.4,0.06,0.0
wgs-assembler.csv,0.95,0.1,0.16,0.18,0.25,0.21,0.04,0.26,0.0,0.33,0.44,0.0
zabbix.csv,0.53,0.01,0.18,0.13,0.42,0.81,0.05,0.15,0.1,0.35,0.99,0.0
