,empyrean.csv,amanda.csv,nutz.csv,yafdotnet.csv,mplayer-ce.csv
amanda.csv,0.37,0.22,0.5,0.11,0.06
empyrean.csv,0.26,0.0,0.0,0.0,0.0
mplayer-ce.csv,0.87,0.4,0.57,0.44,0.33
nutz.csv,0.47,0.73,0.21,0.67,0.75
yafdotnet.csv,0.24,0.33,0.2,0.24,0.22
