,avifile.csv,werx.csv,plog4u.csv,jgameai.csv,esmf.csv,mule.csv,jsecurity.csv,delphilhlplib.csv,piccolo2d.csv,libopenmetaverse.csv,gbif-indexingtoolkit.csv,mptvseries.csv,vars-redux.csv
avifile.csv,0.18,0.0,0.38,0.29,0.81,0.5,0.38,0.89,0.33,1.0,0.44,0.81,0.54
delphilhlplib.csv,0.31,1.0,0.26,0.38,0.09,0.46,0.44,0.28,0.65,0.4,0.64,0.06,0.63
esmf.csv,0.55,1.0,0.5,0.6,0.23,0.65,0.77,0.5,0.8,0.49,0.5,0.48,0.94
gbif-indexingtoolkit.csv,0.48,0.5,0.77,0.71,0.39,0.44,0.43,0.06,0.48,0.26,0.3,0.19,0.27
jgameai.csv,0.18,0.0,0.08,0.27,0.42,0.09,0.14,0.0,0.05,0.23,0.08,0.32,0.09
jsecurity.csv,0.28,0.0,0.31,0.05,0.43,0.18,0.23,0.33,0.06,0.66,0.26,0.81,0.07
libopenmetaverse.csv,1.0,1.0,0.99,1.0,0.85,1.0,1.0,1.0,0.98,0.29,0.98,0.68,1.0
mptvseries.csv,0.35,0.75,0.27,0.08,0.17,0.3,0.09,0.0,0.2,0.23,0.1,0.32,0.12
mule.csv,0.86,0.25,0.14,0.46,0.5,0.38,0.18,0.67,0.45,0.6,0.36,0.39,0.3
piccolo2d.csv,0.29,0.0,0.21,0.24,0.08,0.12,0.09,0.28,0.26,0.31,0.4,0.19,0.31
vars-redux.csv,0.92,0.75,0.54,0.37,0.62,0.82,0.53,1.0,0.67,0.54,0.62,0.42,0.39
werx.csv,0.85,0.0,1.0,1.0,1.0,0.9,0.98,0.94,1.0,1.0,0.82,0.97,0.9
