,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,quark.csv,pnotepad.csv
bacnet.csv,0.63,0.14,0.7,0.53,0.65,0.5,0.6,0.59,0.7,0.47,0.54,0.58
gamestone.csv,0.17,0.86,0.19,0.47,0.4,0.0,0.0,0.44,0.17,0.11,0.27,0.1
gbif-providertoolkit.csv,0.5,0.0,0.34,0.56,0.79,0.68,0.65,0.59,0.76,0.45,0.42,0.38
heekscad.csv,0.75,0.65,0.71,0.63,0.61,0.56,0.66,0.6,0.72,0.55,0.36,0.69
igarden.csv,0.56,0.43,0.54,0.63,0.64,0.53,0.52,0.32,0.65,0.33,0.86,0.57
levent.csv,0.66,0.15,0.0,0.0,0.57,0.7,0.56,0.05,0.0,0.0,0.0,0.05
lportal.csv,0.27,0.0,0.33,0.0,0.09,0.15,0.04,0.55,0.75,0.02,0.0,0.1
openmsx.csv,0.55,0.51,0.33,0.5,0.48,0.33,0.06,0.5,0.0,0.59,0.18,0.38
owlapi.csv,0.45,0.0,0.39,0.16,0.58,0.59,0.45,0.75,0.32,0.47,0.78,0.64
pnotepad.csv,0.65,0.72,0.64,0.36,0.46,0.6,0.58,0.44,0.09,0.48,0.0,0.88
quark.csv,0.45,0.29,0.41,0.19,0.48,0.1,0.04,0.24,0.39,0.11,0.93,0.32
xcsoar.csv,0.67,0.29,0.72,0.62,0.64,0.47,0.46,0.54,0.72,0.47,0.0,0.27
