,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,quark.csv,pnotepad.csv
bacnet.csv,0.67,0.08,0.54,0.36,0.21,0.77,0.51,0.28,0.07,0.37,0.24,0.93
gamestone.csv,0.92,0.39,0.5,0.31,0.26,0.0,0.0,0.2,0.02,0.32,0.19,0.67
gbif-providertoolkit.csv,0.59,0.0,0.41,0.34,0.44,0.75,0.4,0.3,0.09,0.42,0.24,0.75
heekscad.csv,0.8,0.36,0.65,0.39,0.2,0.75,0.4,0.22,0.07,0.41,0.22,0.87
igarden.csv,0.89,0.3,0.62,0.48,0.27,0.86,0.42,0.2,0.06,0.5,0.36,0.9
levent.csv,0.76,0.17,0.0,0.0,0.19,0.81,0.37,1.0,0.0,0.0,0.0,1.0
lportal.csv,0.64,0.0,0.57,0.0,1.0,0.75,1.0,0.24,0.15,0.5,0.0,1.0
openmsx.csv,0.62,0.14,0.32,0.31,0.35,0.78,0.12,0.19,0.0,0.54,0.22,0.75
owlapi.csv,0.57,0.0,0.42,0.29,0.18,0.73,0.34,0.33,0.05,0.38,0.31,0.87
pnotepad.csv,0.89,0.19,0.5,0.32,0.18,0.72,0.41,0.14,0.04,0.36,0.2,1.0
quark.csv,0.86,0.67,0.8,0.5,0.4,0.8,1.0,0.29,0.08,0.55,0.48,1.0
xcsoar.csv,0.81,0.25,0.7,0.37,0.27,0.78,0.41,0.22,0.07,0.43,0.2,1.0
