,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,quark.csv,pnotepad.csv
bacnet.csv,0.52,0.92,0.42,0.53,0.39,0.47,0.56,0.44,0.4,0.51,0.36,0.57
gamestone.csv,0.92,0.39,0.94,0.47,0.84,0.0,0.0,0.6,0.88,0.95,0.88,0.83
gbif-providertoolkit.csv,0.68,0.83,0.85,0.51,0.64,0.46,0.53,0.59,0.49,0.75,0.67,0.79
heekscad.csv,0.38,0.64,0.39,0.41,0.4,0.36,0.37,0.43,0.41,0.38,0.33,0.38
igarden.csv,0.45,0.8,0.49,0.53,0.48,0.5,0.53,0.66,0.46,0.63,0.39,0.59
levent.csv,0.51,0.83,0.0,0.0,0.37,0.44,0.49,0.0,0.0,0.0,0.0,0.5
lportal.csv,0.86,0.5,0.79,0.0,0.0,0.88,0.0,0.75,0.74,0.5,0.75,0.75
openmsx.csv,0.51,0.43,0.7,0.32,0.88,0.94,0.94,0.92,0.0,0.68,0.89,0.67
owlapi.csv,0.62,0.91,0.77,0.93,0.44,0.44,0.44,0.57,0.64,0.5,0.46,0.55
pnotepad.csv,0.4,0.57,0.37,0.31,0.34,0.41,0.41,0.52,0.39,0.42,0.34,0.41
quark.csv,0.5,0.67,0.68,0.9,0.93,0.8,0.0,0.94,0.88,0.91,0.48,0.77
xcsoar.csv,0.39,0.75,0.39,0.41,0.42,0.44,0.51,0.53,0.47,0.43,0.34,0.55
