,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,archive-crawler.csv,impala.csv,gdis.csv
archive-crawler.csv,0.63,0.2,0.08,0.03,0.57,0.39,0.46,0.39,0.19,0.6,0.45,0.1,0.48
avifile.csv,0.04,0.45,0.09,0.0,0.2,0.44,0.06,0.33,0.27,0.48,0.35,0.13,0.85
baadengine.csv,0.85,0.11,0.47,0.02,0.68,0.41,0.47,0.41,0.31,0.57,0.46,0.22,0.9
gdis.csv,0.75,0.07,0.89,0.0,0.67,0.43,0.5,0.35,0.29,0.56,0.47,0.16,0.91
gogoego.csv,0.56,0.0,0.86,0.04,0.59,0.35,0.62,0.41,0.26,0.56,0.47,0.16,0.84
impala.csv,0.23,0.14,0.5,0.05,0.65,0.48,0.37,0.3,0.26,0.12,0.33,0.31,0.53
jgameai.csv,0.0,0.29,0.01,0.0,0.17,0.52,0.23,0.1,0.07,0.06,0.08,0.06,0.15
jhotdraw.csv,0.77,0.14,0.95,0.02,0.7,0.45,0.0,0.38,0.51,0.41,0.52,0.24,0.64
patterntesting.csv,0.84,0.11,0.8,0.02,0.79,0.45,0.47,0.39,0.33,0.67,0.47,0.18,0.71
pokeglobal.csv,0.84,0.14,0.98,0.06,0.74,0.28,0.47,0.45,0.3,0.61,0.44,0.19,0.78
werx.csv,0.85,0.15,0.98,0.02,0.73,0.46,0.47,0.37,0.31,0.55,0.43,0.21,0.89
zealos.csv,0.23,0.0,0.04,0.0,0.09,0.24,0.59,0.13,0.08,0.26,0.36,0.0,0.45
