,paintown.csv,triplea.csv,fbmanager.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,megameknet.csv,fityk.csv,ondex.csv,fleet-simulator.csv,duplicati.csv,xamj.csv
dspace-gsoc.csv,0.42,0.78,0.62,0.8,0.62,0.6,0.4,0.45,1.12,0.81,0.69,0.52,0.75,0.16,1.08,0.95
fbmanager.csv,1.0,1.0,0.35,1.0,1.0,0.79,1.0,1.0,1.0,1.0,1.0,0.98,1.0,0.91,0.71,1.0
fityk.csv,0.7,0.78,0.54,0.62,0.72,0.55,0.73,0.48,0.87,1.01,0.62,0.47,0.68,0.57,1.0,0.52
fleet-simulator.csv,0.73,0.87,0.73,0.78,0.6,0.8,0.66,0.9,0.79,0.7,0.79,0.82,0.99,0.06,1.0,0.73
google-caja.csv,0.46,0.87,0.49,0.3,0.95,0.5,0.74,0.41,0.92,1.0,0.87,0.79,0.97,0.24,1.0,0.94
itext.csv,0.56,0.64,0.44,0.94,0.76,0.54,0.74,0.33,0.91,0.57,0.44,0.75,0.7,0.37,0.38,0.81
k3b.csv,0.47,0.56,0.94,0.8,0.85,0.45,0.84,0.54,0.6,0.99,0.78,0.6,0.82,0.92,0.16,0.93
megameknet.csv,0.73,0.78,0.56,0.79,0.91,0.73,0.85,0.68,0.89,0.44,0.43,0.74,0.74,0.61,0.03,0.64
myfaces.csv,0.49,0.61,0.6,0.74,0.4,0.65,0.64,0.65,0.74,0.4,0.5,0.56,0.67,0.22,0.55,0.58
ondex.csv,0.72,0.75,0.85,0.86,0.65,0.77,0.71,0.86,1.09,0.9,0.68,0.56,0.52,0.7,0.28,0.6
paintown.csv,0.38,0.7,0.84,1.01,0.89,0.65,0.67,0.71,0.85,0.97,0.96,0.64,0.9,1.02,1.15,0.96
powerfolder.csv,0.59,0.76,0.59,0.82,0.63,0.53,0.69,0.94,0.12,0.64,0.77,0.66,0.82,0.64,0.84,0.64
smartgwt.csv,0.49,0.6,0.56,1.0,0.47,0.59,0.94,0.82,0.34,0.34,0.79,0.57,0.72,1.33,1.05,0.69
triplea.csv,0.54,0.4,0.56,0.68,0.79,0.55,0.78,0.52,0.51,0.52,0.52,0.59,0.75,0.07,0.26,0.64
xamj.csv,0.63,0.64,0.77,0.89,0.39,0.73,0.85,0.77,0.27,0.78,0.84,0.55,0.76,0.74,0.66,0.39
