,paintown.csv,triplea.csv,fbmanager.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,megameknet.csv,fityk.csv,ondex.csv,fleet-simulator.csv,duplicati.csv,xamj.csv
dspace-gsoc.csv,0.68,0.55,0.48,0.53,0.68,0.55,0.73,0.65,0.17,0.45,0.6,0.66,0.59,0.9,0.0,0.23
fbmanager.csv,0.0,0.0,0.75,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.11,0.34,0.0
fityk.csv,0.58,0.55,0.67,0.56,0.6,0.56,0.46,0.6,0.39,0.3,0.59,0.62,0.52,0.49,0.0,0.71
fleet-simulator.csv,0.61,0.42,0.6,0.56,0.74,0.55,0.65,0.35,0.53,0.37,0.55,0.5,0.05,0.95,0.0,0.62
google-caja.csv,0.66,0.43,0.69,0.78,0.21,0.69,0.61,0.68,0.3,0.0,0.42,0.55,0.17,0.8,0.0,0.24
itext.csv,0.51,0.63,0.72,0.26,0.55,0.59,0.54,0.75,0.35,0.76,0.71,0.51,0.52,0.69,0.67,0.52
k3b.csv,0.61,0.51,0.24,0.53,0.45,0.64,0.48,0.71,0.77,0.05,0.56,0.66,0.49,0.36,0.87,0.27
megameknet.csv,0.59,0.56,0.7,0.55,0.35,0.6,0.46,0.65,0.38,0.75,0.69,0.6,0.5,0.48,0.98,0.65
myfaces.csv,0.63,0.48,0.46,0.31,0.68,0.44,0.47,0.4,0.64,0.73,0.56,0.61,0.57,0.82,0.51,0.65
ondex.csv,0.33,0.29,0.18,0.17,0.58,0.3,0.4,0.18,0.21,0.13,0.37,0.5,0.58,0.35,0.76,0.65
paintown.csv,0.71,0.55,0.48,0.0,0.4,0.53,0.64,0.52,0.47,0.17,0.17,0.6,0.38,0.0,0.0,0.17
powerfolder.csv,0.48,0.29,0.6,0.21,0.51,0.56,0.38,0.07,0.97,0.44,0.49,0.48,0.21,0.42,0.19,0.43
smartgwt.csv,0.65,0.55,0.7,0.0,0.67,0.59,0.34,0.29,0.91,0.81,0.53,0.63,0.52,0.0,0.0,0.57
triplea.csv,0.6,0.66,0.53,0.65,0.55,0.7,0.54,0.68,0.83,0.58,0.59,0.63,0.6,0.94,0.78,0.67
xamj.csv,0.64,0.45,0.55,0.37,0.72,0.61,0.47,0.57,0.93,0.27,0.49,0.63,0.31,0.31,0.39,0.7
