,ktc.csv,neoengine.csv,mbse.csv,openmalaria.csv,xemeiah.csv,rtrt-on-gpu.csv,enzo.csv,salasaga.csv,nebuladevice.csv,gstreamer.csv,skia.csv
enzo.csv,0.93,0.76,0.63,0.96,0.88,0.96,0.32,0.48,0.8,0.48,0.76
gstreamer.csv,0.49,0.51,0.56,0.71,0.58,0.56,0.08,0.5,0.55,0.26,0.43
ktc.csv,0.25,0.26,0.21,0.29,0.1,0.21,0.08,0.38,0.38,0.12,0.2
mbse.csv,0.46,0.23,0.29,0.59,0.33,0.12,0.2,0.48,0.45,0.17,0.17
nebuladevice.csv,0.48,0.39,0.0,0.49,0.68,0.79,0.04,0.41,0.17,0.0,0.24
neoengine.csv,0.32,0.33,1.0,0.73,0.18,0.92,0.2,0.99,0.72,1.0,0.76
openmalaria.csv,0.82,0.4,0.54,0.2,0.4,0.58,0.2,0.27,0.72,0.46,0.72
rtrt-on-gpu.csv,0.64,0.73,0.97,0.76,0.38,0.12,0.84,0.96,0.75,0.82,0.48
salasaga.csv,0.45,0.43,0.54,0.14,0.58,0.31,0.72,0.3,0.39,0.68,0.78
skia.csv,0.31,0.28,0.32,0.39,0.14,0.56,0.12,0.43,0.56,0.17,0.35
xemeiah.csv,0.3,0.62,0.68,0.04,0.28,0.33,0.68,0.5,0.24,0.65,0.67
