,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv
fceugc.csv,0.17,0.73,0.19,1.0,0.5,0.31,0.58,0.1,0.26,0.8
flexpay.csv,0.14,0.57,1.0,0.25,0.27,0.38,0.53,0.26,0.19,0.73
jstock.csv,0.11,0.82,0.16,0.33,1.0,0.83,0.7,1.0,0.17,0.0
keyczar.csv,0.23,0.57,0.23,0.33,0.27,0.57,0.71,0.45,0.19,0.98
modellus.csv,0.24,0.65,0.21,0.17,0.6,1.0,0.69,0.26,0.2,0.8
open-data-kit.csv,0.21,0.62,0.16,0.37,0.36,0.58,0.99,0.31,0.14,0.83
phet.csv,1.0,0.31,0.15,0.43,0.5,0.36,0.5,0.27,0.19,0.72
qtractor.csv,0.13,1.0,0.23,0.44,0.41,0.72,0.78,0.3,0.22,0.89
sumatrapdf.csv,0.19,0.61,0.19,0.37,1.0,0.66,0.69,0.33,0.29,0.71
synergyspace.csv,0.22,0.88,0.19,0.3,0.4,0.57,0.62,0.0,1.0,0.78
