,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv
fceugc.csv,0.2,0.12,0.16,0.0,0.13,0.31,0.25,0.42,0.25,0.07
flexpay.csv,0.14,0.5,0.0,0.49,0.67,0.63,0.8,0.4,0.13,0.87
jstock.csv,0.15,0.08,0.11,0.05,0.0,0.02,0.07,0.0,0.05,0.0
keyczar.csv,0.25,0.5,0.19,0.65,0.87,0.07,0.11,0.14,0.17,0.07
modellus.csv,0.32,0.25,0.38,0.23,0.22,0.0,0.27,0.33,0.24,0.2
open-data-kit.csv,0.62,0.42,0.56,0.44,0.62,0.53,0.02,0.42,0.42,0.33
phet.csv,0.0,0.38,0.28,0.19,0.02,0.19,0.59,0.19,0.35,0.47
qtractor.csv,0.35,0.0,0.28,0.23,0.35,0.22,0.25,0.33,0.18,0.13
sumatrapdf.csv,0.54,0.54,0.58,0.44,0.0,0.45,0.48,0.28,0.58,0.33
synergyspace.csv,0.35,0.04,0.27,0.37,0.16,0.3,0.91,0.14,0.0,0.13
