,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv,natpad.csv
ikvm.csv,0.81,0.17,1.0,0.85,0.76,0.77,0.86,0.98,0.9,0.89,0.92
libtorrent.csv,0.67,0.74,0.62,0.67,0.86,0.46,0.77,0.71,0.62,0.6,0.96
mcmc-jags.csv,0.69,0.74,0.77,0.16,0.72,0.7,0.69,0.6,0.79,0.78,0.6
natpad.csv,0.82,0.48,0.9,0.57,0.47,0.61,0.56,0.68,0.66,0.51,0.43
nebuladevice.csv,0.68,0.99,1.0,0.66,0.99,0.75,0.74,1.0,0.38,0.42,1.0
olap-navigator.csv,0.18,0.71,0.49,0.44,0.46,0.53,0.6,0.66,0.46,0.44,0.6
pidgin.csv,0.55,0.74,0.68,0.81,0.41,0.72,0.57,0.68,0.77,0.42,0.5
salasaga.csv,0.73,0.71,0.73,0.66,0.55,0.73,0.58,0.39,0.56,0.71,0.47
sepgsql.csv,0.4,0.66,0.36,0.74,0.43,0.64,0.52,0.56,0.87,0.26,0.49
xstore.csv,0.73,0.65,0.95,0.67,0.8,0.64,0.45,0.53,0.65,0.55,0.88
xtreemfs.csv,0.32,0.66,0.74,0.55,0.78,0.55,0.61,0.64,0.95,0.33,0.53
