,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv,natpad.csv
ikvm.csv,0.42,0.92,0.17,0.3,0.41,0.49,0.33,0.13,0.34,0.31,0.28
libtorrent.csv,0.68,0.46,0.74,0.62,0.45,0.72,0.56,0.58,0.72,0.72,0.21
mcmc-jags.csv,0.53,0.56,0.57,0.92,0.61,0.61,0.66,0.5,0.53,0.57,0.73
natpad.csv,0.24,0.7,0.37,0.51,0.7,0.55,0.62,0.66,0.44,0.64,0.76
nebuladevice.csv,0.54,0.11,0.0,0.6,0.01,0.37,0.4,0.0,0.73,0.72,0.0
olap-navigator.csv,0.86,0.44,0.78,0.63,0.68,0.52,0.58,0.59,0.7,0.81,0.48
pidgin.csv,0.53,0.56,0.38,0.24,0.74,0.38,0.53,0.67,0.31,0.8,0.6
salasaga.csv,0.56,0.58,0.37,0.6,0.58,0.44,0.62,0.74,0.56,0.65,0.61
sepgsql.csv,0.66,0.48,0.81,0.31,0.68,0.41,0.59,0.56,0.16,0.8,0.61
xstore.csv,0.49,0.45,0.21,0.38,0.53,0.42,0.67,0.57,0.5,0.77,0.4
xtreemfs.csv,0.75,0.51,0.61,0.6,0.55,0.53,0.69,0.62,0.09,0.82,0.74
