,esmf.csv,pentahoanalysistool.csv,phet.csv,voms.csv,aztec.csv,qtractor.csv,acegisecurity.csv,bibedt.csv,kowari.csv,sumatrapdf.csv,irrlicht.csv,modellus.csv,open-data-kit.csv,roller.csv,ultimairis.csv,lportal.csv,jstock.csv,synergyspace.csv
acegisecurity.csv,1.0,0.52,0.22,0.22,0.62,0.64,0.98,0.5,0.71,0.48,0.49,0.49,0.37,0.52,0.32,0.62,0.77,0.5
aztec.csv,0.09,0.52,0.65,0.67,0.88,0.61,0.6,0.8,0.29,0.13,0.54,0.5,0.55,0.83,0.34,0.41,0.38,0.58
bibedt.csv,0.3,0.67,0.26,0.22,0.33,0.25,0.45,0.8,0.29,0.19,0.45,0.7,0.38,0.55,0.51,0.64,0.15,0.19
esmf.csv,0.88,0.74,0.81,0.78,0.46,0.96,0.75,0.9,1.0,0.0,0.78,0.58,0.66,0.99,0.45,0.5,0.77,0.58
irrlicht.csv,0.7,0.52,0.49,0.22,0.88,0.79,0.5,0.6,0.43,0.87,1.0,0.64,0.42,0.4,0.74,0.41,0.54,0.42
jstock.csv,0.39,0.11,0.09,0.22,0.5,0.57,0.12,0.4,0.71,0.19,0.31,0.09,0.08,0.28,0.26,0.31,1.0,0.15
kowari.csv,0.0,0.0,0.03,0.22,0.17,0.0,0.0,0.0,1.0,0.0,0.02,0.02,0.0,0.03,0.0,0.03,0.0,0.0
lportal.csv,0.52,0.37,0.57,0.0,0.54,0.39,0.4,0.1,0.14,0.39,0.47,0.5,0.28,0.25,0.45,0.85,0.46,0.42
modellus.csv,0.39,0.59,0.26,0.22,0.29,0.57,0.52,0.5,0.57,0.61,0.43,0.98,0.33,0.63,0.7,0.65,0.31,0.31
open-data-kit.csv,0.36,0.85,0.49,0.22,0.67,0.57,0.75,0.7,0.29,0.48,0.41,0.6,0.99,0.64,0.3,0.76,0.54,0.23
pentahoanalysistool.csv,0.12,1.0,0.17,0.22,0.04,0.29,0.45,0.1,0.0,0.35,0.08,0.37,0.29,0.39,0.06,0.41,0.23,0.12
phet.csv,0.06,0.11,0.91,0.33,0.46,0.11,0.25,0.1,0.14,0.0,0.25,0.2,0.36,0.47,0.28,0.09,0.08,0.35
qtractor.csv,0.67,0.74,0.23,0.44,0.38,0.96,0.52,0.6,0.14,0.61,0.54,0.59,0.38,0.6,0.47,0.57,0.46,0.23
roller.csv,0.36,0.56,0.43,0.67,0.75,0.79,0.42,0.8,0.43,0.52,0.66,0.64,0.37,0.97,0.7,0.75,0.46,0.38
sumatrapdf.csv,0.58,0.59,0.42,0.56,0.83,0.57,0.8,0.8,1.0,0.97,0.68,0.65,0.5,0.84,0.47,0.94,0.46,0.85
synergyspace.csv,0.09,0.56,0.26,0.22,0.0,0.14,0.35,0.2,0.14,0.32,0.27,0.58,0.51,0.56,0.13,0.22,0.0,0.88
ultimairis.csv,0.82,0.7,0.96,0.56,0.42,0.86,0.82,0.5,0.86,0.71,0.69,0.79,0.74,0.77,0.98,0.72,0.69,0.65
voms.csv,0.06,0.11,0.01,1.0,0.08,0.04,0.05,0.0,0.14,0.06,0.17,0.2,0.09,0.28,0.06,0.19,0.0,0.04
