,xbrlapi.csv,codeblocks.csv,fw4spl.csv,emulemorph.csv,ipfire-wall.csv,libmesh.csv,soar.csv,gnome-jabber.csv,ipfilter.csv,tencompetence.csv,fulguro.csv,rockbox.csv
codeblocks.csv,0.36,0.4,0.41,0.38,0.37,0.57,0.67,0.89,0.0,0.61,0.4,0.42
emulemorph.csv,0.67,0.5,0.0,0.56,0.0,0.0,0.0,0.91,0.67,0.96,0.9,0.5
fulguro.csv,0.38,0.96,0.54,0.0,0.68,0.56,0.42,0.57,0.89,0.98,0.67,0.49
fw4spl.csv,0.71,0.63,0.64,0.95,0.43,0.6,0.45,0.75,0.38,0.97,0.49,0.5
gnome-jabber.csv,0.47,0.42,0.5,0.37,0.38,0.38,0.41,0.46,0.33,0.47,0.5,0.41
ipfilter.csv,0.45,0.55,0.55,0.43,0.57,0.56,0.39,0.53,0.46,0.51,0.51,0.61
ipfire-wall.csv,0.66,0.64,0.77,0.52,0.48,0.48,0.33,0.92,0.39,0.62,0.64,0.43
libmesh.csv,0.92,0.92,0.59,0.97,0.77,0.66,0.77,0.0,0.0,0.98,0.83,0.73
rockbox.csv,0.92,0.63,0.4,0.83,0.44,0.56,0.36,0.52,0.75,0.97,0.41,0.35
soar.csv,0.4,0.41,0.41,0.41,0.36,0.49,0.67,0.52,0.38,0.48,0.41,0.45
tencompetence.csv,0.85,0.92,0.92,0.63,0.92,0.58,0.44,0.97,0.8,0.67,0.9,0.83
xbrlapi.csv,0.47,0.91,0.57,0.41,0.6,0.46,0.33,0.0,0.75,0.99,0.47,0.67
