,xbrlapi.csv,codeblocks.csv,fw4spl.csv,emulemorph.csv,ipfire-wall.csv,libmesh.csv,soar.csv,gnome-jabber.csv,ipfilter.csv,tencompetence.csv,fulguro.csv,rockbox.csv
codeblocks.csv,0.57,0.8,0.29,0.11,0.48,0.59,0.18,0.18,0.0,0.23,0.19,0.67
emulemorph.csv,0.13,0.03,0.0,0.21,0.0,0.07,0.06,0.21,0.12,0.16,0.0,0.19
fulguro.csv,0.69,0.23,0.2,0.0,0.43,0.31,0.63,0.89,0.33,0.48,0.24,0.59
fw4spl.csv,0.35,0.56,0.32,0.0,0.46,0.26,0.42,0.08,0.7,0.18,0.2,0.44
gnome-jabber.csv,0.53,0.79,0.29,0.16,0.43,0.29,0.69,0.73,0.72,0.54,0.15,0.57
ipfilter.csv,0.65,0.68,0.18,0.11,0.48,0.55,0.67,0.96,0.98,0.78,0.25,0.44
ipfire-wall.csv,0.42,0.39,0.23,0.04,0.62,0.26,0.61,0.23,0.65,0.55,0.24,0.55
libmesh.csv,0.33,0.09,0.19,0.06,0.3,0.45,0.53,0.0,0.0,0.29,0.15,0.27
rockbox.csv,0.19,0.4,0.32,0.0,0.37,0.14,0.61,0.37,0.0,0.03,0.23,0.67
soar.csv,0.64,0.86,0.23,0.1,0.49,0.53,0.69,0.97,0.84,0.76,0.22,0.54
tencompetence.csv,0.49,0.09,0.05,0.1,0.52,0.51,0.62,0.56,0.2,0.83,0.31,0.0
xbrlapi.csv,0.67,0.16,0.27,0.18,0.48,0.28,0.68,0.0,0.41,0.38,0.31,0.57
