,xbrlapi.csv,codeblocks.csv,fw4spl.csv,emulemorph.csv,ipfire-wall.csv,libmesh.csv,soar.csv,gnome-jabber.csv,ipfilter.csv,tencompetence.csv,fulguro.csv,rockbox.csv
codeblocks.csv,0.51,0.83,0.18,0.06,0.33,0.45,1.0,1.0,0.0,0.49,0.11,0.5
emulemorph.csv,1.0,1.0,0.0,0.12,0.0,1.0,1.0,1.0,1.0,0.62,0.0,1.0
fulguro.csv,0.53,0.62,0.12,0.0,0.42,0.28,0.58,0.94,1.0,0.7,0.17,0.46
fw4spl.csv,0.52,0.82,0.23,0.0,0.37,0.3,0.42,1.0,0.71,0.46,0.12,0.38
gnome-jabber.csv,0.51,0.8,0.19,0.09,0.31,0.24,0.62,0.98,0.69,0.6,0.09,0.43
ipfilter.csv,0.55,0.7,0.11,0.06,0.39,0.39,0.61,0.95,0.98,0.67,0.14,0.33
ipfire-wall.csv,0.52,0.88,0.19,0.02,0.57,0.29,0.5,1.0,0.86,0.65,0.18,0.52
libmesh.csv,0.69,0.5,0.12,0.03,0.27,0.41,0.64,0.0,0.0,0.51,0.1,0.23
rockbox.csv,0.42,0.86,0.2,0.0,0.32,0.17,0.51,1.0,0.0,0.09,0.14,0.58
soar.csv,0.51,0.75,0.13,0.05,0.33,0.36,0.74,0.95,0.72,0.65,0.12,0.37
tencompetence.csv,0.63,0.5,0.04,0.05,0.62,0.38,0.59,0.92,1.0,0.84,0.24,0.0
xbrlapi.csv,0.64,0.91,0.2,0.1,0.53,0.29,0.55,0.0,1.0,0.62,0.21,0.89
