,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,tradelink.csv,google-gears.csv,glelite.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.77,0.94,0.85,0.83,0.94,0.42,0.98,0.97,0.74,0.93,0.85,0.8,0.86,0.94,0.79,0.78
bdbbasic.csv,0.65,0.89,0.83,0.66,0.85,0.56,0.98,1.0,0.4,0.98,0.54,0.62,0.82,0.87,0.83,0.76
crux-framework.csv,0.8,0.59,0.75,0.85,0.74,0.94,0.89,0.81,0.82,0.75,0.74,0.71,1.0,0.68,0.1,0.95
echongl.csv,0.6,0.79,0.92,0.64,0.79,0.68,0.94,0.64,0.55,0.21,0.74,0.62,0.71,0.81,0.83,0.73
etherboot.csv,0.94,0.6,1.0,1.0,0.51,0.84,1.0,0.54,0.5,1.0,0.99,0.98,1.0,1.0,0.66,0.97
freebios.csv,0.85,0.88,0.85,0.79,0.71,0.9,0.33,1.01,0.84,0.57,0.86,0.89,0.65,0.92,0.72,0.82
gebr.csv,1.0,1.0,0.99,1.0,0.83,0.96,1.0,0.38,1.0,1.0,0.99,0.97,1.01,1.0,1.0,1.0
glelite.csv,0.75,0.92,0.97,0.89,0.92,0.9,0.89,0.5,1.0,1.0,0.88,0.75,0.04,0.98,0.91,0.94
gnukeda.csv,0.84,0.57,0.8,0.36,0.75,0.6,0.84,0.59,0.69,0.93,0.87,0.89,1.11,0.84,0.85,0.97
google-gears.csv,0.53,0.71,0.69,0.61,0.74,0.98,0.96,0.64,0.86,0.97,0.67,0.47,1.01,0.54,0.56,0.97
gstreamer.csv,0.7,0.95,0.93,0.56,0.82,0.88,0.93,0.52,0.82,0.89,0.68,0.61,0.77,0.39,0.91,1.0
jnode.csv,0.97,0.69,0.27,0.79,0.91,1.0,0.82,0.91,0.81,0.92,0.9,0.88,0.97,0.97,0.71,0.93
metacosm.csv,0.75,0.63,0.73,0.74,0.89,0.57,0.91,0.68,0.79,0.89,0.57,0.81,1.05,0.67,0.43,0.34
openmeetings.csv,0.56,0.22,0.48,0.85,0.67,0.5,0.92,0.59,0.66,0.78,0.8,0.76,0.73,0.65,0.72,0.54
tradelink.csv,0.85,0.85,0.89,0.61,0.9,0.74,0.75,0.53,0.52,0.83,0.45,0.77,0.68,0.68,0.8,0.79
wxcrp.csv,0.57,0.96,0.89,0.65,0.92,0.66,0.76,0.65,0.57,0.42,0.46,0.63,0.67,0.63,0.98,0.88
