,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,fido.csv,megameknet.csv,geogebra.csv,duplicati.csv
botsnscouts.csv,0.89,0.42,0.86,0.53,0.56,0.48,0.46,0.67,0.8,0.75,0.88,0.69,0.78,0.55,0.85,0.64,0.46,0.58
dspace-gsoc.csv,0.46,0.77,0.37,0.48,0.39,0.57,0.57,0.42,0.54,0.48,0.39,0.44,0.4,0.76,0.56,0.51,0.54,0.62
fbmanager.csv,0.52,0.35,0.5,0.38,0.32,0.37,0.4,0.36,0.47,0.55,0.38,0.44,0.46,0.47,0.44,0.52,0.42,0.36
fido.csv,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0
freenet.csv,0.62,0.4,0.54,0.5,0.43,0.42,0.4,0.45,0.55,0.73,0.35,0.67,0.49,0.69,0.56,0.6,0.66,0.39
geogebra.csv,0.92,0.73,0.83,0.53,0.47,0.46,0.88,0.61,0.68,0.89,0.62,0.48,0.43,0.76,0.42,0.72,0.78,0.8
google-caja.csv,0.46,0.35,0.4,0.41,0.34,0.41,0.41,0.34,0.47,0.45,0.42,0.4,0.42,0.6,0.35,0.52,0.45,0.31
itext.csv,0.94,0.62,0.83,0.61,0.48,0.87,0.53,0.81,0.71,0.91,0.82,0.45,0.61,0.56,0.75,0.61,0.63,0.55
k3b.csv,0.44,0.32,0.36,0.36,0.48,0.4,0.42,0.36,0.38,0.44,0.33,0.37,0.3,0.34,0.39,0.43,0.38,0.32
megameknet.csv,0.59,0.39,0.71,0.49,0.41,0.47,0.64,0.57,0.61,0.62,0.47,0.5,0.63,0.64,0.55,0.75,0.56,0.4
myfaces.csv,0.69,0.58,0.71,0.42,0.41,0.42,0.44,0.55,0.98,0.67,0.91,0.61,0.69,0.96,0.44,0.82,0.78,0.71
onotoa.csv,0.69,0.52,0.69,0.47,0.42,0.39,0.44,0.44,0.52,0.71,0.69,0.83,0.46,0.56,0.42,0.51,0.6,0.46
paintown.csv,0.52,0.91,0.45,0.64,0.55,0.57,0.61,0.51,0.62,0.53,0.71,0.85,0.61,0.73,0.81,0.66,0.63,0.56
powerfolder.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.8,0.0,0.5,0.5,0.0,0.0
smartgwt.csv,0.64,0.44,0.73,0.53,0.46,0.59,0.59,0.55,0.6,0.39,0.44,0.47,0.75,0.57,0.44,0.59,0.6,0.86
sqlpower-library.csv,0.67,0.37,0.79,0.43,0.41,0.44,0.5,0.48,0.68,0.71,0.32,0.43,0.65,0.71,0.67,0.51,0.45,0.5
triplea.csv,0.96,0.41,0.9,0.4,0.41,0.59,0.45,0.46,0.48,0.51,0.39,0.64,0.57,0.52,0.91,0.62,0.52,0.43
