,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,unflobtactical.csv,snakeyaml.csv,impala.csv,cascading.csv,dataobjectsdotnet.csv,loki-lib.csv,gnome-jabber.csv
avifile.csv,0.06,0.8,0.16,0.0,0.07,0.38,0.0,0.05,0.05,0.1,0.05,0.0,0.0,0.11,0.0,0.08,0.05,0.25,0.17,0.0
baadengine.csv,0.99,0.2,0.78,1.0,0.68,0.35,0.9,0.82,0.81,0.67,0.75,1.0,0.7,0.83,0.93,0.92,0.7,0.62,0.76,0.58
bibedt.csv,0.2,0.2,0.21,0.0,0.37,0.42,0.4,0.28,0.27,0.13,0.7,0.0,0.9,0.4,0.48,0.08,0.2,0.45,0.34,0.07
cascading.csv,0.37,0.2,0.75,1.0,0.54,0.31,0.4,0.66,0.63,0.73,0.5,0.5,0.7,0.6,0.78,0.64,1.0,0.51,0.1,0.23
dataobjectsdotnet.csv,0.24,0.2,0.34,0.0,0.37,0.12,0.17,0.41,0.16,0.73,0.35,0.5,0.0,0.2,0.33,0.48,0.22,0.94,0.21,0.1
gnome-jabber.csv,0.83,1.0,0.9,1.0,0.88,0.81,1.0,0.98,1.0,0.97,1.0,1.0,1.0,0.89,0.96,0.96,0.99,0.79,0.79,1.0
gogoego.csv,0.08,0.0,0.06,0.0,0.15,0.19,0.93,0.9,0.29,0.37,0.1,0.5,0.0,0.11,0.33,0.04,0.11,0.19,0.0,0.61
httpcontentparser.csv,0.04,0.0,0.02,0.0,0.17,0.27,0.0,0.13,0.18,0.1,0.9,0.0,0.4,0.29,0.15,0.2,0.02,0.11,0.34,0.42
impala.csv,0.33,0.0,0.03,1.0,0.83,0.88,0.07,0.96,0.87,0.0,0.1,0.0,0.3,0.31,0.04,0.84,0.67,0.55,0.52,0.7
jaxlib.csv,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jgameai.csv,0.08,0.4,0.04,0.0,0.05,0.92,0.6,0.42,0.05,0.2,0.1,0.5,0.2,0.14,0.11,0.04,0.1,0.06,0.14,0.38
jhotdraw.csv,0.12,0.0,0.08,0.0,0.17,0.08,0.0,0.16,0.95,0.07,0.05,0.0,0.0,0.0,0.04,0.04,0.05,0.09,0.03,0.0
loki-lib.csv,0.65,0.2,0.36,1.0,0.51,0.58,0.63,0.52,0.48,0.73,0.65,1.0,0.7,0.54,0.48,0.36,0.59,0.39,0.93,0.28
patterntesting.csv,0.46,0.2,0.32,1.0,0.44,0.38,0.47,0.49,0.58,1.0,0.75,1.0,0.7,0.69,0.52,0.16,0.28,0.43,0.28,0.53
pokeglobal.csv,0.95,0.2,0.68,1.0,0.98,0.69,0.63,0.55,0.58,0.3,0.2,1.0,0.8,0.6,0.78,0.32,0.64,0.37,0.31,0.23
snakeyaml.csv,0.05,0.8,0.39,0.0,0.46,0.73,0.67,0.51,0.52,0.6,0.3,0.5,0.2,0.74,0.93,0.36,0.41,0.65,0.69,0.8
unflobtactical.csv,0.4,0.8,0.27,0.0,0.49,0.38,0.7,0.52,0.39,0.5,0.65,0.5,0.5,1.0,0.33,0.28,0.38,0.41,0.59,0.61
werx.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0
zealos.csv,0.55,0.6,0.6,1.0,0.49,0.77,0.97,0.67,0.63,0.4,0.7,0.5,0.5,0.54,0.78,0.32,0.55,0.75,0.72,0.68
