,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv
algebsql.csv,0.51,0.81,0.99,0.51,0.93,0.5,0.72,0.5,0.6,0.8,0.86,0.83,0.75
ivef-sdk.csv,0.43,0.5,0.64,0.49,0.54,0.61,0.54,0.0,0.49,0.5,0.0,0.57,0.94
jmri.csv,0.59,0.6,0.58,0.78,0.62,0.47,0.64,0.65,0.51,0.5,0.75,0.65,0.65
jython.csv,0.57,0.62,0.56,0.58,0.53,0.51,0.54,0.95,0.56,0.5,0.64,0.46,0.63
kdenlive.csv,0.44,0.41,0.45,0.37,0.45,0.58,0.47,0.95,0.45,0.42,0.45,0.53,0.47
opentibia.csv,0.4,0.43,0.61,0.46,0.57,0.65,0.63,0.27,0.47,0.64,0.54,0.53,0.45
projectfactory.csv,0.93,0.94,0.82,0.94,0.57,0.63,0.76,0.26,0.92,0.66,0.63,0.67,0.56
runuomondains.csv,0.97,0.95,0.98,0.93,0.93,0.91,0.8,0.94,0.75,0.5,0.88,0.88,0.89
somap.csv,0.42,0.44,0.4,0.46,0.39,0.43,0.42,0.26,0.49,0.38,0.43,0.35,0.43
taverna.csv,0.68,0.75,0.85,0.74,0.76,0.73,0.87,0.0,0.65,0.68,0.89,0.91,0.92
tigermud.csv,0.98,0.96,0.61,0.92,0.64,0.72,0.5,0.96,0.71,0.92,0.47,0.87,0.5
unbvision.csv,0.6,0.56,0.42,0.76,0.88,0.8,0.65,0.98,0.71,0.43,0.84,0.43,0.62
x-ray-mule.csv,0.6,0.64,0.73,0.69,0.58,0.8,0.7,0.95,0.53,0.54,0.86,0.6,0.68
