,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv
algebsql.csv,0.67,0.75,0.82,0.66,0.87,0.97,0.03,0.91,0.78,0.95,0.88,0.92,0.89
ivef-sdk.csv,0.58,0.48,0.72,0.65,0.69,0.0,0.67,1.0,0.8,0.77,1.0,1.09,0.91
jmri.csv,0.57,0.91,0.04,1.0,0.49,0.83,0.96,0.5,0.83,0.71,0.34,0.78,0.96
jython.csv,0.85,0.58,0.69,0.56,0.81,0.77,0.67,0.05,0.81,0.81,0.64,0.88,0.85
kdenlive.csv,0.03,0.51,0.61,0.96,0.68,0.52,0.95,0.17,0.42,0.63,0.57,0.87,0.74
opentibia.csv,0.7,0.0,0.79,1.0,0.69,0.37,0.46,1.0,0.81,0.86,0.78,0.58,0.95
projectfactory.csv,0.91,0.86,0.77,0.67,0.71,0.94,0.8,1.0,0.91,0.13,0.63,0.73,0.8
runuomondains.csv,0.84,1.03,0.89,0.74,0.83,0.56,0.98,0.59,0.97,0.97,0.0,0.89,0.93
somap.csv,1.0,1.0,0.98,1.0,0.98,1.0,0.94,1.0,1.0,1.0,1.0,0.01,1.0
taverna.csv,0.7,0.73,0.79,0.44,0.07,0.18,0.9,0.95,0.73,0.79,0.89,0.85,0.77
tigermud.csv,0.96,0.9,0.84,0.73,0.63,0.15,0.5,0.37,0.86,0.86,0.8,0.82,0.2
unbvision.csv,0.7,0.69,0.92,0.65,0.97,0.51,0.95,0.21,0.01,0.87,0.68,0.87,0.66
x-ray-mule.csv,0.72,0.74,0.76,0.03,0.61,0.93,0.81,0.73,0.94,0.75,0.9,0.82,0.74
