,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv
algebsql.csv,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0
ivef-sdk.csv,1.0,0.0,18.0,1.0,2.0,0.0,10.0,169.0,6.0,1.0,66.0,0.0,0.0
jmri.csv,2.0,5.0,0.0,3.0,3.0,1.0,6.0,1.0,3.0,1.0,2.0,0.0,0.0
jython.csv,3.0,0.0,18.0,1.0,2.0,1.0,10.0,0.0,6.0,1.0,0.0,0.0,0.0
kdenlive.csv,0.0,0.0,1.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
opentibia.csv,1.0,0.0,6.0,1.0,0.0,0.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0
projectfactory.csv,3.0,4.0,11.0,0.0,2.0,0.0,3.0,1.0,2.0,0.0,13.0,0.0,0.0
runuomondains.csv,2.0,0.0,17.0,1.0,2.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0
somap.csv,3.0,0.0,18.0,1.0,2.0,1.0,10.0,1.0,4.0,1.0,7.0,0.0,0.0
taverna.csv,2.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,14.0,0.0,1.0,0.0,0.0
tigermud.csv,2.0,4.0,12.0,1.0,0.0,1.0,1.0,1.0,6.0,0.0,7.0,1.0,0.0
unbvision.csv,3.0,0.0,18.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,5.0,0.0,0.0
x-ray-mule.csv,1.0,0.0,18.0,0.0,0.0,0.0,5.0,7.0,5.0,0.0,1.0,0.0,0.0
