,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv
algebsql.csv,0.28,0.0,0.12,0.65,0.19,0.0,0.0,0.0,0.53,0.07,0.1,0.0,0.0
ivef-sdk.csv,0.49,0.25,0.59,0.65,0.66,0.0,0.66,0.0,0.74,0.72,0.02,1.0,0.43
jmri.csv,0.38,0.67,0.01,0.35,0.32,0.83,0.66,0.28,0.82,0.56,0.24,0.33,0.81
jython.csv,0.77,0.33,0.62,0.55,0.75,0.77,0.66,0.0,0.71,0.77,0.41,0.83,0.76
kdenlive.csv,0.03,0.25,0.42,0.75,0.4,0.47,0.37,0.15,0.4,0.58,0.56,0.67,0.29
opentibia.csv,0.69,0.0,0.43,1.0,0.36,0.2,0.34,0.97,0.76,0.33,0.59,0.0,0.95
projectfactory.csv,0.59,0.5,0.18,0.3,0.58,0.7,0.34,1.0,0.12,0.02,0.51,0.33,0.76
runuomondains.csv,0.38,0.58,0.14,0.25,0.17,0.1,0.11,0.06,0.04,0.02,0.0,0.0,0.52
somap.csv,1.0,1.0,0.98,1.0,0.98,1.0,0.94,1.0,1.0,1.0,1.0,0.0,1.0
taverna.csv,0.51,0.08,0.29,0.1,0.0,0.03,0.29,0.0,0.46,0.37,0.14,0.0,0.19
tigermud.csv,0.62,0.5,0.57,0.2,0.3,0.03,0.49,0.09,0.51,0.16,0.76,0.17,0.0
unbvision.csv,0.59,0.5,0.92,0.25,0.13,0.07,0.43,0.16,0.01,0.86,0.27,0.83,0.48
x-ray-mule.csv,0.28,0.25,0.48,0.0,0.51,0.0,0.46,0.09,0.88,0.63,0.22,0.67,0.33
