,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv
algebsql.csv,0.43,0.29,0.23,0.67,0.18,0.04,0.98,0.11,0.44,0.06,0.15,0.1,0.13
ivef-sdk.csv,0.64,0.62,0.54,0.73,0.63,1.0,0.67,0.0,0.52,0.56,0.0,0.0,0.23
jmri.csv,0.59,0.38,0.97,0.09,0.64,0.5,0.31,0.61,0.5,0.53,0.75,0.33,0.37
jython.csv,0.48,0.55,0.59,0.75,0.51,0.57,0.67,0.96,0.49,0.51,0.52,0.44,0.48
kdenlive.csv,0.99,0.58,0.56,0.36,0.46,0.7,0.14,0.9,0.8,0.66,0.73,0.41,0.35
opentibia.csv,0.65,1.0,0.36,0.0,0.44,0.71,0.69,0.13,0.52,0.24,0.48,0.48,0.21
projectfactory.csv,0.33,0.33,0.3,0.44,0.55,0.35,0.31,0.0,0.12,0.89,0.59,0.39,0.53
runuomondains.csv,0.28,0.18,0.14,0.34,0.22,0.5,0.04,0.46,0.04,0.04,1.0,0.13,0.26
somap.csv,0.0,0.0,0.09,0.0,0.09,0.0,0.24,0.0,0.0,0.0,0.0,0.99,0.0
taverna.csv,0.51,0.33,0.31,0.62,0.94,0.85,0.18,0.06,0.45,0.35,0.14,0.18,0.3
tigermud.csv,0.29,0.28,0.39,0.34,0.48,0.87,0.77,0.68,0.33,0.18,0.53,0.22,0.83
unbvision.csv,0.56,0.52,0.29,0.44,0.05,0.54,0.18,0.86,1.0,0.42,0.42,0.45,0.54
x-ray-mule.csv,0.38,0.34,0.42,0.98,0.62,0.09,0.36,0.31,0.35,0.53,0.14,0.47,0.38
