,reactos-mirror.csv,critterding.csv,exordium.csv,enlightenment.csv,lockss.csv,google-caja.csv,bdbbasic.csv,yafdotnet.csv,modplug.csv,itext.csv
bdbbasic.csv,0.07,0.27,0.45,0.09,0.0,0.36,0.67,0.39,0.63,0.0
critterding.csv,0.49,0.67,0.47,0.43,0.28,0.66,0.48,0.56,0.73,0.72
enlightenment.csv,0.6,0.62,0.4,0.68,0.32,0.86,0.42,0.57,0.73,0.68
exordium.csv,0.04,0.49,0.68,0.05,0.37,0.76,0.1,0.52,0.38,0.51
google-caja.csv,0.53,0.54,0.44,0.59,0.37,0.87,0.65,0.6,0.81,0.71
itext.csv,0.57,0.44,0.48,0.63,0.39,0.85,0.57,0.62,0.78,0.77
lockss.csv,0.46,0.33,0.55,0.59,0.41,0.74,0.55,0.62,0.62,0.71
modplug.csv,0.55,0.65,0.49,0.71,0.35,0.78,0.45,0.59,0.8,0.77
reactos-mirror.csv,0.62,0.64,0.44,0.62,0.34,0.78,0.44,0.37,0.75,0.76
yafdotnet.csv,0.38,0.48,0.48,0.4,0.36,0.82,0.37,0.69,0.62,0.74
