,pclasses.csv,olap-navigator.csv,re2c.csv,tzod.csv,wxcrp.csv,atlc.csv,konversation.csv,co-ode-owl-plugins.csv,etherboot.csv,boost-sandbox.csv,plato.csv,freebios.csv,clamav.csv,miranda-icq.csv,jasperreports.csv,frogatto.csv,rebecca-aiml.csv,glelite.csv
atlc.csv,0.68,0.58,0.67,0.89,0.49,0.47,0.49,0.61,0.44,0.44,0.64,0.53,0.4,0.55,0.51,0.88,0.52,0.56
boost-sandbox.csv,0.48,0.43,0.89,0.39,0.61,0.57,0.53,0.43,0.91,0.6,0.48,0.59,0.48,0.56,0.98,0.47,0.61,0.96
clamav.csv,0.43,0.48,0.41,0.36,0.38,0.49,0.47,0.49,0.41,0.87,0.45,0.56,0.41,0.32,0.44,0.37,0.54,0.5
co-ode-owl-plugins.csv,0.62,0.68,0.59,0.47,0.68,0.61,0.59,0.95,0.69,0.58,0.8,0.54,0.88,0.57,0.48,0.41,0.43,0.58
etherboot.csv,0.41,0.43,0.0,0.93,0.88,0.41,0.43,0.58,0.68,0.94,0.43,0.88,0.39,0.0,0.0,0.49,0.0,0.53
freebios.csv,0.5,0.78,0.44,0.53,0.57,0.68,0.78,0.74,0.7,0.51,0.45,0.63,0.59,0.84,0.73,0.61,0.81,0.71
frogatto.csv,0.45,0.39,0.41,0.33,0.35,0.41,0.41,0.37,0.42,0.35,0.36,0.39,0.42,0.34,0.46,0.45,0.56,0.49
glelite.csv,0.43,0.59,0.42,0.4,0.39,0.41,0.43,0.49,0.43,0.47,0.42,0.43,0.4,0.39,0.46,0.43,0.44,0.51
jasperreports.csv,0.49,0.5,0.48,0.37,0.46,0.56,0.42,0.39,0.44,0.44,0.42,0.48,0.43,0.52,0.7,0.75,0.86,0.63
konversation.csv,0.85,0.51,0.88,0.52,0.62,0.83,0.5,0.71,0.63,0.49,0.55,0.89,0.89,0.86,0.58,0.88,0.93,0.79
miranda-icq.csv,0.56,0.37,0.73,0.43,0.57,0.41,0.53,0.49,0.51,0.39,0.39,0.52,0.8,0.51,0.45,0.61,0.57,0.7
olap-navigator.csv,0.89,0.61,0.5,0.42,0.5,0.75,0.41,0.39,0.56,0.46,0.62,0.47,0.73,0.76,0.57,0.69,0.6,0.67
pclasses.csv,0.68,0.6,0.8,0.47,0.52,0.0,0.78,0.69,0.86,0.8,0.63,0.83,0.69,0.0,0.65,0.85,0.56,0.95
plato.csv,0.43,0.52,0.42,0.37,0.42,0.41,0.42,0.44,0.41,0.39,0.5,0.39,0.39,0.39,0.47,0.43,0.41,0.5
re2c.csv,0.79,0.6,0.86,0.49,0.78,0.65,0.92,0.93,0.95,0.86,0.93,0.73,0.92,0.58,0.86,0.41,0.59,0.66
rebecca-aiml.csv,0.82,0.44,0.52,0.44,0.39,0.91,0.45,0.43,0.49,0.48,0.44,0.88,0.8,0.37,0.39,0.43,0.63,0.41
tzod.csv,0.54,0.47,0.46,0.47,0.47,0.53,0.58,0.47,0.47,0.61,0.36,0.74,0.39,0.44,0.53,0.41,0.61,0.57
wxcrp.csv,0.46,0.66,0.42,0.39,0.53,0.0,0.48,0.51,0.41,0.39,0.61,0.39,0.67,0.67,0.49,0.6,0.49,0.53
