,empyrean.csv,amanda.csv,nutz.csv,impala.csv,multitude.csv,pi-qmc.csv
amanda.csv,0.5,0.93,0.5,0.54,0.51,0.48
empyrean.csv,0.99,0.47,0.64,0.38,0.61,0.43
impala.csv,0.42,0.41,0.32,0.83,0.44,0.36
multitude.csv,0.47,0.64,0.71,0.39,0.98,0.71
nutz.csv,0.23,0.18,0.93,0.23,0.21,0.41
pi-qmc.csv,0.29,0.54,0.64,0.36,0.45,0.96
