,empyrean.csv,amanda.csv,nutz.csv,impala.csv,multitude.csv,pi-qmc.csv
amanda.csv,0.65,0.08,0.57,0.61,0.76,0.66
empyrean.csv,0.03,0.68,0.54,0.84,0.62,0.77
impala.csv,0.73,0.89,0.99,0.2,0.87,0.71
multitude.csv,0.71,0.56,0.47,0.77,0.02,0.36
nutz.csv,0.84,0.85,0.09,0.85,0.84,0.64
pi-qmc.csv,0.77,0.55,0.53,0.74,0.67,0.05
