,campsoft.csv,sevenupdate.csv,extprosys.csv,opennms.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,freewrl.csv,roller.csv,aten.csv,xfce.csv,papertoolkit.csv,glas.csv,ibatisdb.csv,soar.csv,primefaces.csv,xcf.csv,web-cat.csv
encog-cs.csv,0.4,0.46,0.55,0.36,0.39,0.52,0.49,0.76,0.45,0.32,0.55,0.39,0.6,0.44,0.48,0.46,0.41,0.33,0.46,0.39
extprosys.csv,0.42,0.42,0.57,0.35,0.67,0.53,0.48,0.39,0.44,0.33,0.41,0.41,0.46,0.39,0.52,0.44,0.38,0.82,0.48,0.7
freewrl.csv,0.33,0.46,0.47,0.53,0.37,0.39,0.53,0.51,0.45,0.35,0.41,0.43,0.45,0.5,0.63,0.45,0.58,0.34,0.45,0.71
glas.csv,0.45,0.5,0.67,0.4,0.4,0.47,0.39,0.4,0.89,0.62,0.45,0.39,0.38,0.48,0.58,0.44,0.43,0.65,0.53,0.27
ibatisdb.csv,0.9,0.59,0.66,0.48,0.86,0.65,0.64,0.51,0.67,0.5,0.88,0.92,0.59,0.62,0.86,0.58,0.0,0.86,0.8,0.86
japano.csv,0.38,0.46,0.56,0.4,0.38,0.52,0.36,0.44,0.47,0.33,0.62,0.48,0.63,0.35,0.54,0.48,0.64,0.34,0.45,0.45
lockss.csv,0.46,0.47,0.68,0.58,0.5,0.4,0.82,0.43,0.48,0.0,0.47,0.96,0.38,0.77,0.75,0.53,0.0,0.83,0.53,0.88
officefloor.csv,0.44,0.64,0.65,0.81,0.0,0.36,0.54,0.7,0.51,0.0,0.33,0.43,0.45,0.67,0.83,0.38,0.38,0.9,0.64,0.35
opennms.csv,0.48,0.47,0.89,0.59,0.39,0.93,0.76,0.53,0.86,0.77,0.91,0.96,0.51,0.41,0.83,0.93,0.0,0.86,0.76,0.0
papertoolkit.csv,0.45,0.54,0.9,0.95,0.89,0.88,0.81,0.76,0.67,0.73,0.79,0.83,0.86,0.73,0.94,0.89,0.45,0.9,0.62,0.88
primefaces.csv,0.39,0.43,0.47,0.34,0.37,0.39,0.36,0.39,0.45,0.0,0.4,0.39,0.46,0.33,0.47,0.4,0.79,0.44,0.4,0.28
rohxel.csv,0.37,0.41,0.55,0.49,0.42,0.45,0.81,0.51,0.51,0.44,0.51,0.38,0.46,0.42,0.76,0.5,0.39,0.39,0.67,0.5
roller.csv,0.33,0.44,0.47,0.39,0.44,0.44,0.37,0.39,0.43,0.34,0.4,0.4,0.46,0.31,0.62,0.45,0.45,0.37,0.5,0.86
sevenupdate.csv,0.32,0.61,0.47,0.4,0.37,0.47,0.37,0.58,0.45,0.33,0.34,0.38,0.47,0.4,0.47,0.42,0.36,0.33,0.41,0.32
soar.csv,0.42,0.54,0.48,0.4,0.42,0.54,0.56,0.38,0.51,0.71,0.48,0.4,0.46,0.39,0.47,0.46,0.72,0.34,0.46,0.33
web-cat.csv,0.42,0.73,0.54,0.4,0.43,0.63,0.37,0.52,0.53,0.33,0.41,0.38,0.82,0.46,0.56,0.53,0.36,0.69,0.43,0.56
xcf.csv,0.39,0.5,0.49,0.46,0.43,0.38,0.39,0.46,0.43,0.32,0.34,0.33,0.41,0.9,0.46,0.41,0.35,0.88,0.42,0.33
xfce.csv,0.36,0.42,0.53,0.48,0.4,0.36,0.53,0.49,0.45,0.42,0.34,0.4,0.41,0.54,0.53,0.53,0.58,0.33,0.41,0.36
