,etics.csv,arianne.csv,linuxsh.csv,openmeetings.csv,scite-ru.csv,ifmo-game-1.csv,mvdsv.csv,plato.csv,flexpay.csv,vrjuggler.csv,projecteqemu.csv,uclmda.csv,jcl.csv,chrysalis.csv
arianne.csv,0.39,0.71,0.29,0.55,0.44,0.14,0.16,0.86,0.3,0.34,0.61,0.97,0.22,0.29
chrysalis.csv,0.44,0.41,0.21,0.45,0.32,0.22,0.2,0.48,0.3,0.0,0.67,0.73,0.22,0.55
etics.csv,0.69,0.15,0.6,0.34,0.17,0.07,0.3,0.13,0.34,0.16,0.66,0.01,0.24,0.23
flexpay.csv,0.14,0.6,0.3,0.27,0.34,0.06,0.0,0.73,0.33,0.35,0.29,0.97,0.17,0.27
ifmo-game-1.csv,0.44,0.34,0.0,0.22,0.0,0.42,0.0,0.09,0.29,0.33,0.2,0.72,0.2,0.1
jcl.csv,0.43,0.59,0.24,0.48,0.4,0.1,0.15,0.57,0.33,0.33,0.42,0.98,0.34,0.33
linuxsh.csv,0.26,0.34,0.51,0.23,0.08,0.24,0.47,0.21,0.29,0.0,0.54,0.8,0.12,0.07
mvdsv.csv,0.13,0.04,0.0,0.34,0.27,0.22,0.86,0.46,0.04,0.09,0.4,0.0,0.18,0.12
openmeetings.csv,0.48,0.52,0.1,0.65,0.0,0.29,0.0,0.58,0.27,0.34,0.23,0.42,0.12,0.26
plato.csv,0.36,0.66,0.29,0.25,0.45,0.15,0.16,0.93,0.29,0.35,0.62,0.98,0.2,0.24
projecteqemu.csv,0.5,0.57,0.29,0.38,0.23,0.25,0.22,0.35,0.32,0.15,0.71,0.76,0.28,0.2
scite-ru.csv,0.38,0.63,0.36,0.23,0.5,0.16,0.19,0.88,0.3,0.36,0.65,0.98,0.22,0.27
uclmda.csv,0.08,0.24,0.11,0.09,0.21,0.0,0.0,0.17,0.17,0.0,0.05,1.0,0.15,0.06
vrjuggler.csv,0.4,0.43,0.24,0.17,0.44,0.2,0.43,0.82,0.13,0.38,0.4,0.64,0.26,0.0
