,nova.csv,crisscross.csv,mb-unit.csv,libopenmetaverse.csv,betoffice.csv,ldview.csv,mvdsv.csv,jitterbit.csv,tolven.csv,gwanted.csv,codepurge.csv,olex2.csv,elvishrayrenderer.csv
betoffice.csv,2112.5,98.5,99.0,98.5,616.5,283.5,659.5,679.5,295.0,2871.0,1589.5,98.5,97.5
codepurge.csv,189.0,98.5,99.0,98.5,279.5,188.0,465.5,1709.0,295.0,95.5,976.0,98.5,97.5
crisscross.csv,1824.0,173.0,99.0,98.5,846.5,188.0,659.5,99.0,196.0,585.5,967.5,98.5,97.5
elvishrayrenderer.csv,188.0,98.5,99.0,97.5,186.0,283.5,659.5,470.5,295.0,845.0,1371.5,97.5,97.5
gwanted.csv,32.0,98.5,198.0,87.5,181.0,188.0,611.5,99.0,295.0,347.5,675.0,98.5,97.5
jitterbit.csv,5.5,439.5,297.0,98.5,371.0,187.0,1882.5,99.0,97.5,585.5,2663.0,98.5,94.5
ldview.csv,787.0,98.5,297.0,98.5,564.0,91.5,659.5,99.0,196.0,487.0,2188.5,98.5,97.5
libopenmetaverse.csv,1824.0,98.5,99.0,98.5,846.5,283.5,273.5,99.0,295.0,684.0,1490.0,98.5,97.5
mb-unit.csv,310.5,806.5,297.0,98.5,565.0,91.5,659.5,99.0,295.0,389.5,1483.0,98.5,97.5
mvdsv.csv,955.0,0.0,98.5,87.5,155.0,91.5,180.0,99.0,63.5,653.0,137.5,93.5,88.5
nova.csv,247.5,1322.0,198.0,98.5,656.5,271.5,2062.0,99.0,97.5,193.0,1580.5,98.5,97.5
olex2.csv,1047.0,177.0,99.0,98.5,181.0,11.5,930.5,99.0,295.0,486.5,1291.5,98.5,94.5
tolven.csv,445.0,231.5,99.0,98.5,181.0,259.5,467.5,632.5,295.0,95.5,2285.0,95.5,94.5
