,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,quark.csv,pnotepad.csv
bacnet.csv,0.55,0.95,0.53,0.86,0.76,0.79,0.01,0.5,0.84,0.46
gamestone.csv,0.89,0.0,0.85,0.79,0.95,0.96,0.87,0.74,0.89,0.88
gbif-providertoolkit.csv,0.67,0.88,0.84,0.82,0.14,0.69,0.79,0.64,0.78,0.82
heekscad.csv,0.01,0.51,0.43,0.55,0.4,0.55,0.53,0.66,0.77,0.55
igarden.csv,0.83,0.75,0.82,0.0,0.93,0.88,0.9,0.85,0.66,0.85
levent.csv,0.56,0.68,0.66,0.61,0.58,0.05,0.72,0.54,0.55,0.74
owlapi.csv,0.83,1.0,0.76,0.78,0.73,0.81,0.73,0.08,0.64,0.85
pnotepad.csv,0.68,0.5,0.61,0.78,0.84,0.54,0.69,0.66,0.87,0.02
quark.csv,0.64,0.88,0.59,0.84,0.86,1.0,1.0,0.96,0.0,0.85
xcsoar.csv,0.43,0.61,0.05,0.57,0.6,0.68,0.71,0.49,0.54,0.66
