,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,quark.csv,pnotepad.csv
bacnet.csv,0.51,0.75,0.44,0.68,0.43,0.44,0.62,0.51,0.37,0.5
gamestone.csv,0.92,0.88,0.94,0.8,0.92,0.67,0.9,0.77,0.88,0.83
gbif-providertoolkit.csv,0.88,0.8,0.89,0.93,0.92,0.74,0.93,0.79,0.88,0.9
heekscad.csv,0.43,0.48,0.4,0.37,0.41,0.45,0.42,0.45,0.32,0.44
igarden.csv,0.94,0.75,0.92,0.71,0.67,0.86,0.92,0.96,0.67,0.86
levent.csv,0.46,0.57,0.42,0.4,0.4,0.49,0.49,0.53,0.45,0.42
owlapi.csv,0.9,0.0,0.91,0.94,0.93,0.67,0.77,0.91,0.79,0.86
pnotepad.csv,0.43,0.5,0.34,0.31,0.35,0.38,0.34,0.47,0.33,0.4
quark.csv,0.54,0.5,0.68,0.91,0.86,0.0,0.0,0.86,0.85,0.86
xcsoar.csv,0.45,0.64,0.48,0.48,0.39,0.62,0.48,0.51,0.37,0.65
