,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,quark.csv,pnotepad.csv
bacnet.csv,0.53,0.12,0.68,0.19,0.79,0.41,1.0,0.6,0.85,0.58
gamestone.csv,0.12,1.0,0.16,0.23,0.07,0.04,0.13,0.28,0.15,0.12
gbif-providertoolkit.csv,0.34,0.12,0.16,0.19,0.86,0.33,0.21,0.36,0.23,0.19
heekscad.csv,0.99,0.62,0.73,0.81,0.79,0.49,0.63,0.48,1.0,0.62
igarden.csv,0.17,0.25,0.18,1.0,0.07,0.12,0.11,0.16,0.38,0.15
levent.csv,0.77,0.5,0.82,0.81,0.79,0.98,0.61,0.64,0.69,0.75
owlapi.csv,0.18,0.0,0.25,0.23,0.29,0.27,0.32,0.92,0.38,0.15
pnotepad.csv,0.96,0.88,0.91,0.94,0.93,0.76,0.76,0.72,1.0,0.98
quark.csv,0.38,0.12,0.43,0.16,0.14,0.0,0.0,0.04,1.0,0.15
xcsoar.csv,0.69,0.5,0.96,0.58,0.64,0.35,0.58,0.56,0.85,0.42
