,fritzing.csv,aubit4gl.csv,firebreath.csv,patterntesting.csv,mpgravity.csv,httpcontentparser.csv,bibedt.csv,roller.csv,cascading.csv,xfce.csv
aubit4gl.csv,0.62,0.49,0.99,1.09,0.92,1.0,1.0,1.08,1.0,0.99
bibedt.csv,0.55,0.62,0.8,0.68,0.6,0.57,0.43,0.69,0.76,0.63
cascading.csv,0.6,0.72,0.56,0.59,0.83,0.54,0.53,0.67,0.53,0.59
firebreath.csv,0.49,0.86,0.46,0.54,1.0,0.58,0.54,0.51,0.56,0.5
fritzing.csv,0.39,0.57,0.57,0.46,0.62,0.95,0.93,0.81,0.68,0.52
httpcontentparser.csv,0.85,1.0,0.73,0.8,0.84,0.32,0.72,0.56,0.71,0.65
mpgravity.csv,0.94,0.67,0.74,0.62,0.26,0.76,0.95,0.69,0.77,0.7
patterntesting.csv,0.9,0.86,0.91,0.37,0.47,0.99,0.98,0.95,0.94,0.83
roller.csv,0.69,0.69,0.79,0.35,0.55,0.79,0.98,0.37,1.0,0.97
xfce.csv,0.71,0.79,0.94,0.87,1.0,0.48,0.75,0.94,0.6,0.51
