,fritzing.csv,aubit4gl.csv,firebreath.csv,patterntesting.csv,mpgravity.csv,httpcontentparser.csv,bibedt.csv,roller.csv,cascading.csv,xfce.csv
aubit4gl.csv,0.39,0.35,0.07,0.66,0.0,0.08,0.0,0.9,0.06,0.0
bibedt.csv,0.48,0.42,0.06,0.11,0.12,0.15,0.15,0.65,0.12,0.27
cascading.csv,0.52,0.71,0.4,0.15,0.0,0.4,0.34,0.29,0.45,0.34
firebreath.csv,0.38,0.31,0.33,0.09,0.0,0.52,0.37,0.18,0.42,0.34
fritzing.csv,0.3,0.44,0.36,0.28,0.2,0.95,0.24,0.8,0.36,0.31
httpcontentparser.csv,0.23,0.02,0.2,0.02,0.12,0.25,0.51,0.25,0.55,0.16
mpgravity.csv,0.94,0.17,0.73,0.6,0.2,0.76,0.95,0.69,0.76,0.68
patterntesting.csv,0.9,0.85,0.91,0.21,0.22,0.99,0.98,0.94,0.94,0.82
roller.csv,0.69,0.54,0.79,0.23,0.37,0.79,0.98,0.24,1.0,0.97
xfce.csv,0.69,0.73,0.94,0.87,1.0,0.4,0.68,0.94,0.58,0.38
