,fritzing.csv,aubit4gl.csv,firebreath.csv,patterntesting.csv,mpgravity.csv,httpcontentparser.csv,bibedt.csv,roller.csv,cascading.csv,xfce.csv
aubit4gl.csv,0.51,0.67,0.02,0.13,0.08,0.0,0.0,0.4,0.0,0.01
bibedt.csv,0.74,0.54,0.2,0.33,0.42,0.45,0.6,0.75,0.25,0.44
cascading.csv,0.71,0.85,0.6,0.43,0.17,0.65,0.6,0.4,0.72,0.51
firebreath.csv,0.68,0.2,0.68,0.47,0.0,0.75,0.6,0.52,0.64,0.63
fritzing.csv,0.75,0.63,0.57,0.63,0.42,1.0,0.1,0.91,0.43,0.59
httpcontentparser.csv,0.18,0.0,0.3,0.2,0.17,0.8,0.5,0.51,0.55,0.37
mpgravity.csv,1.0,0.35,0.9,0.83,0.83,0.95,1.0,0.97,0.87,0.8
patterntesting.csv,0.99,0.89,0.93,0.7,0.58,1.0,1.0,0.88,0.97,0.88
roller.csv,0.92,0.57,0.93,0.73,0.58,1.0,1.0,0.72,0.98,0.98
xfce.csv,0.82,0.69,0.95,1.0,1.0,0.75,0.7,0.95,0.83,0.66
