,paintown.csv,google-collections.csv,smbopensoft.csv,open-media-library.csv,forester-atv.csv,openefm.csv,badtrinitycore.csv,trackit.csv,jbpm.csv,nassp.csv,oppna-program-hsatools.csv,bulmages.csv,st-filteredstatistics.csv,projectfactory.csv,hannosset.csv,wxstudio.csv,opendvr.csv,mevenide.csv,thedata.csv
badtrinitycore.csv,0.61,0.99,0.95,0.71,0.69,0.78,0.25,0.92,0.82,0.61,0.85,0.58,0.74,0.9,1.06,0.51,0.84,0.69,0.37
bulmages.csv,0.78,0.74,0.99,0.8,0.75,0.92,0.66,0.74,0.94,0.57,0.75,0.56,0.97,1.0,1.0,0.88,0.69,0.71,0.76
forester-atv.csv,0.99,0.92,0.72,0.85,0.3,0.92,0.98,0.89,0.53,0.85,0.9,0.95,0.87,0.88,1.01,0.95,1.0,0.77,1.0
google-collections.csv,0.97,0.19,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0
hannosset.csv,0.79,0.62,0.85,0.89,0.68,0.78,1.01,0.47,0.91,0.84,0.7,0.83,0.68,0.88,0.4,0.8,0.73,0.97,0.82
jbpm.csv,0.97,1.0,1.0,0.85,0.77,0.94,0.81,0.98,0.3,1.0,0.97,1.0,0.88,1.0,1.0,1.0,1.0,0.9,0.76
mevenide.csv,0.72,0.75,0.99,0.78,0.67,0.77,0.64,0.98,0.48,0.52,0.72,0.86,0.92,0.82,1.0,0.95,1.0,0.36,0.76
nassp.csv,0.71,0.55,0.99,0.84,0.66,0.79,0.73,0.81,0.98,0.39,0.92,0.82,0.83,0.97,0.85,0.88,0.87,0.93,1.0
open-media-library.csv,0.57,1.35,0.98,0.43,0.63,0.68,0.65,0.61,0.78,0.54,0.5,0.6,0.78,0.91,1.01,0.52,0.81,0.66,0.28
opendvr.csv,0.77,0.45,0.96,0.92,0.68,0.54,0.9,0.82,0.4,0.62,0.56,0.63,0.72,0.63,0.53,0.75,0.36,0.78,0.79
openefm.csv,0.73,0.94,0.64,0.64,0.87,0.42,0.98,0.93,0.69,0.63,0.58,0.82,0.54,0.73,0.7,0.87,0.91,0.73,0.99
oppna-program-hsatools.csv,0.53,0.36,1.0,0.54,0.64,0.64,0.84,0.85,0.56,0.8,0.19,0.63,0.86,0.84,0.52,0.6,0.61,1.0,1.05
paintown.csv,0.38,1.0,1.0,0.8,0.93,0.97,0.48,0.86,0.99,0.8,0.87,0.73,1.0,1.0,0.72,0.72,0.85,1.0,1.03
projectfactory.csv,0.78,0.99,0.68,0.62,0.44,0.52,0.79,0.68,0.44,0.69,0.58,0.86,0.49,0.57,1.05,0.68,0.82,0.66,0.54
smbopensoft.csv,0.97,1.02,0.3,0.87,0.73,0.65,0.81,0.72,0.66,0.67,1.12,0.8,1.0,0.54,0.94,0.98,0.94,0.86,0.68
st-filteredstatistics.csv,0.46,0.66,0.98,0.92,0.88,0.73,0.94,0.75,0.81,0.66,0.36,0.73,0.26,1.0,0.76,0.64,0.79,0.96,0.92
thedata.csv,0.66,1.02,1.0,0.7,0.53,0.87,0.86,0.79,0.99,0.8,0.88,0.61,0.87,0.83,0.77,0.52,0.72,0.88,0.02
trackit.csv,0.99,0.86,0.99,0.91,0.96,0.9,0.88,0.45,1.0,1.02,0.98,0.85,0.62,1.0,0.88,0.83,0.75,1.0,0.5
wxstudio.csv,0.84,0.43,0.96,0.88,0.88,0.82,0.95,0.85,0.89,0.98,0.77,0.75,0.96,0.91,0.7,0.35,0.83,0.95,0.77
