,kvs.csv,fltk.csv,phet.csv,blue-c.csv,voms.csv,jbasic.csv,apertium.csv,smarttag.csv,vrjuggler.csv,sumatrapdf.csv,monetdb.csv,wheat.csv,repositorium.csv,projecteqemu.csv,free-evolution.csv,icescrum.csv,factor.csv
apertium.csv,1.0,0.6,0.16,1.0,0.4,0.66,0.58,0.29,0.24,0.19,0.4,0.75,0.0,0.43,0.2,0.45,0.33
blue-c.csv,0.13,0.61,0.21,0.85,0.24,0.64,0.29,0.25,0.09,0.65,0.34,0.42,0.08,0.52,0.31,0.47,0.8
factor.csv,0.2,0.58,0.24,1.0,0.0,1.0,0.11,0.25,0.0,0.9,0.64,0.46,0.0,0.43,0.33,0.43,0.93
fltk.csv,0.17,0.76,0.26,0.73,0.1,0.66,0.3,0.27,0.14,0.86,0.48,0.67,0.31,0.56,0.33,0.42,0.85
free-evolution.csv,0.33,0.48,0.19,0.8,0.1,0.6,0.44,0.26,0.19,0.36,0.44,0.6,0.12,0.47,0.33,0.38,0.22
icescrum.csv,0.44,0.6,0.12,0.92,0.08,0.68,0.43,0.41,0.26,0.39,0.47,0.8,0.0,0.65,0.37,0.74,0.64
jbasic.csv,0.18,0.58,0.24,0.64,0.08,0.67,0.32,0.23,0.2,0.35,0.33,0.5,0.0,0.44,0.28,0.4,0.51
kvs.csv,0.5,0.55,0.26,1.0,0.17,0.5,0.56,0.2,0.25,0.34,0.48,0.73,0.12,0.53,0.16,0.48,0.25
monetdb.csv,0.0,0.57,0.15,0.75,0.0,0.75,0.1,0.22,0.08,0.64,0.57,0.75,0.17,0.55,0.26,0.42,0.88
phet.csv,0.22,0.23,0.42,0.4,0.1,0.42,0.5,0.4,0.23,0.19,0.18,0.58,0.08,0.16,0.19,0.21,0.52
projecteqemu.csv,0.67,0.88,0.13,1.0,0.0,0.63,0.37,0.27,0.25,0.8,0.46,0.5,0.0,0.68,0.43,0.48,0.89
repositorium.csv,0.19,0.49,0.28,0.33,0.11,0.06,0.2,0.14,0.0,0.5,0.2,0.48,0.24,0.14,0.23,0.25,0.59
smarttag.csv,0.31,0.61,0.21,0.81,0.14,0.54,0.47,0.53,0.22,0.39,0.46,0.62,0.17,0.47,0.27,0.39,0.55
sumatrapdf.csv,0.23,0.6,0.23,0.68,0.07,0.49,0.3,0.26,0.22,0.72,0.33,0.57,0.12,0.47,0.29,0.39,0.68
voms.csv,0.27,0.63,0.2,1.0,0.44,0.76,0.24,0.28,0.11,0.73,0.47,0.46,0.56,0.61,0.44,0.42,0.53
vrjuggler.csv,0.17,0.52,0.23,1.0,0.0,0.71,0.23,0.0,0.35,0.12,0.61,1.0,0.12,0.56,0.37,0.0,0.65
wheat.csv,0.23,0.56,0.24,0.59,0.06,0.46,0.37,0.25,0.21,0.3,0.39,0.7,0.08,0.57,0.29,0.46,0.7
