,f1,g,recall,precision,pf,wins
apertium.csv,0.19,0.18,0.15,0.4,0.09,3
blue-c.csv,0.42,0.55,0.77,0.34,0.46,15
factor.csv,0.24,0.24,0.2,0.43,0.13,4
fltk.csv,0.45,0.57,0.63,0.42,0.32,16
free-evolution.csv,0.4,0.48,0.57,0.36,0.43,7
icescrum.csv,0.48,0.46,0.43,0.44,0.25,13
jbasic.csv,0.48,0.35,0.79,0.33,0.71,6
kvs.csv,0.41,0.47,0.56,0.48,0.37,12
monetdb.csv,0.26,0.27,0.23,0.42,0.17,5
phet.csv,0.29,0.38,0.56,0.23,0.65,1
projecteqemu.csv,0.39,0.41,0.36,0.48,0.1,11
repositorium.csv,0.23,0.28,0.24,0.23,0.38,0
smarttag.csv,0.42,0.51,0.52,0.46,0.42,10
sumatrapdf.csv,0.49,0.46,0.9,0.33,0.78,8
voms.csv,0.46,0.49,0.45,0.46,0.29,14
vrjuggler.csv,0.24,0.29,0.25,0.35,0.31,2
wheat.csv,0.48,0.52,0.63,0.37,0.57,9
