,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,opensim4opencog.csv,java-gnome.csv,miranda-icq.csv,t-2.csv,boost.csv,ofbiz.csv,xcf.csv
adaptagrams.csv,0.33,0.41,0.6,0.61,0.46,0.52,0.87,0.84,0.6,0.78,0.86
badtrinitycore.csv,0.0,0.0,0.66,0.68,0.96,0.0,0.96,0.86,0.97,0.96,0.89
boost.csv,0.32,0.38,0.45,0.45,0.47,0.8,0.58,0.5,0.55,0.53,0.55
electric-core.csv,0.31,0.49,0.64,0.46,0.42,0.67,0.47,0.45,0.47,0.42,0.55
java-gnome.csv,0.69,0.95,0.6,0.65,0.55,0.43,0.71,0.49,0.47,0.46,0.54
miranda-icq.csv,0.33,0.45,0.5,0.47,0.46,0.83,0.59,0.72,0.6,0.4,0.64
ofbiz.csv,0.36,0.43,0.4,0.45,0.56,0.68,0.42,0.49,0.56,0.45,0.5
olsrd.csv,0.31,0.31,0.55,0.55,0.48,0.53,0.39,0.49,0.5,0.37,0.67
opensim4opencog.csv,0.29,0.3,0.39,0.37,0.49,0.36,0.36,0.51,0.41,0.49,0.65
t-2.csv,0.56,0.59,0.56,0.47,0.75,0.9,0.43,0.74,0.6,0.67,0.49
xcf.csv,0.31,0.35,0.44,0.41,0.56,0.73,0.43,0.46,0.46,0.48,0.42
