,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,opensim4opencog.csv,java-gnome.csv,miranda-icq.csv,t-2.csv,boost.csv,ofbiz.csv,xcf.csv
adaptagrams.csv,0.81,0.74,0.55,0.55,0.52,0.37,0.38,0.17,0.28,0.23,0.12
badtrinitycore.csv,0.0,0.0,0.39,0.79,0.04,0.0,0.04,0.24,0.1,0.09,0.22
boost.csv,0.96,0.72,0.72,0.62,0.74,0.05,0.31,0.94,0.72,0.4,0.56
electric-core.csv,1.0,0.82,0.61,0.62,0.74,0.4,0.65,0.9,0.63,0.8,0.72
java-gnome.csv,0.35,0.26,0.27,0.4,0.35,0.81,0.33,0.47,0.95,0.42,0.44
miranda-icq.csv,0.85,0.99,0.63,0.4,0.65,0.04,0.58,0.4,0.36,0.59,0.28
ofbiz.csv,0.62,0.91,0.67,0.62,0.61,0.26,0.81,0.85,0.82,0.76,0.53
olsrd.csv,1.0,0.75,0.55,0.47,0.57,0.25,0.67,0.45,0.37,0.66,0.28
opensim4opencog.csv,0.92,0.75,0.73,0.96,0.57,0.81,0.6,0.54,0.5,0.67,0.38
t-2.csv,0.42,0.5,0.42,0.57,0.43,0.07,0.67,0.63,0.46,0.53,0.75
xcf.csv,0.96,0.74,0.66,0.79,0.43,0.25,0.63,0.95,0.55,0.45,0.81
