,jfreereport.csv,arcallians.csv,acegisecurity.csv,gebr.csv,amateur-scrolls.csv,kml.csv,multitude.csv
acegisecurity.csv,0.52,0.39,1.0,0.0,0.65,0.0,0.35
amateur-scrolls.csv,0.5,0.31,0.39,0.27,1.0,0.48,0.1
arcallians.csv,0.74,1.0,0.62,0.51,0.73,0.53,0.52
gebr.csv,0.27,0.54,0.39,0.91,0.54,0.62,0.65
jfreereport.csv,0.98,0.43,0.43,0.0,0.35,0.23,0.39
kml.csv,0.67,0.61,0.73,0.52,0.63,1.0,0.6
multitude.csv,0.65,0.58,0.63,0.57,0.77,0.77,1.0
