,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv,web-cat.csv
cleartk.csv,0.38,0.53,0.55,0.38,0.43,0.52,0.58,0.4,0.4,0.4,0.46,0.43,0.4,0.45,0.41
encog-cs.csv,0.36,0.58,0.62,0.44,0.42,0.42,0.39,0.59,0.48,0.75,0.53,0.48,0.51,0.53,0.5
extprosys.csv,0.42,0.43,0.54,0.38,0.36,0.48,0.74,0.56,0.38,0.39,0.46,0.49,0.39,0.44,0.74
ibatisdb.csv,0.95,0.52,0.67,0.62,0.44,0.55,0.5,0.55,0.64,0.49,0.5,0.62,0.9,0.58,0.57
intact.csv,0.42,0.42,0.6,0.42,0.41,0.55,0.52,0.4,0.44,0.41,0.41,0.55,0.38,0.49,0.56
japano.csv,0.38,0.44,0.54,0.38,0.42,0.39,0.38,0.54,0.37,0.45,0.47,0.45,0.4,0.51,0.42
lockss.csv,0.38,0.5,0.52,0.49,0.42,0.46,0.33,0.4,0.55,0.46,0.47,0.49,0.4,0.42,0.3
ofbiz.csv,0.35,0.46,0.47,0.42,0.48,0.37,0.36,0.38,0.53,0.65,0.46,0.48,0.43,0.43,0.35
officefloor.csv,0.45,0.64,0.63,0.43,0.84,0.7,0.0,0.39,0.56,0.74,0.52,0.86,0.74,0.45,0.39
opennms.csv,0.52,0.52,0.8,0.93,0.59,0.92,0.44,0.8,0.9,0.58,0.99,0.64,0.57,0.94,0.0
rohxel.csv,0.83,0.61,0.71,0.69,0.94,0.91,0.44,0.67,0.47,0.8,0.99,0.75,0.95,0.96,0.5
roolo.csv,0.44,0.5,0.51,0.45,0.4,0.4,0.69,0.7,0.56,0.5,0.47,0.83,0.44,0.52,0.41
sevenupdate.csv,0.31,0.58,0.47,0.35,0.36,0.33,0.37,0.47,0.36,0.49,0.45,0.4,0.39,0.42,0.32
web-cat.csv,0.39,0.67,0.49,0.39,0.4,0.4,0.4,0.58,0.37,0.47,0.52,0.51,0.41,0.5,0.57
