,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv,web-cat.csv
cleartk.csv,0.6,0.67,0.48,0.14,0.56,0.34,0.27,0.89,0.79,0.85,0.31,0.68,0.6,0.6,0.58
encog-cs.csv,0.86,0.5,0.28,0.79,0.68,0.66,1.0,0.67,0.33,0.22,0.85,0.81,0.6,0.57,0.45
extprosys.csv,0.68,1.0,0.29,0.71,0.95,0.66,0.55,0.78,0.86,1.0,0.45,0.59,0.91,0.74,0.42
ibatisdb.csv,0.18,0.33,0.35,0.5,0.45,0.34,0.55,0.44,0.3,0.38,0.3,0.32,0.13,0.21,0.19
intact.csv,0.61,1.0,0.6,0.57,0.6,0.32,0.36,0.33,0.53,0.95,0.62,0.38,0.74,0.47,0.32
japano.csv,0.79,1.0,0.74,0.93,0.75,0.81,1.0,0.22,0.92,0.83,0.94,0.89,0.93,0.74,0.61
lockss.csv,0.58,0.33,0.45,0.14,0.64,0.49,0.82,0.78,0.36,0.3,0.68,0.54,0.49,0.86,0.71
ofbiz.csv,0.82,1.0,0.99,0.71,0.61,0.81,0.64,0.56,0.47,0.34,0.88,0.35,0.45,0.65,0.9
officefloor.csv,0.48,0.0,0.28,0.36,0.17,0.19,0.0,0.56,0.29,0.24,0.27,0.16,0.12,0.34,0.61
opennms.csv,0.45,0.83,0.01,0.07,0.25,0.11,0.45,0.0,0.19,0.29,0.11,0.35,0.39,0.13,0.0
rohxel.csv,0.27,0.5,0.24,0.14,0.16,0.11,0.55,0.0,0.35,0.16,0.11,0.24,0.07,0.18,0.03
roolo.csv,0.68,0.67,0.87,0.93,0.83,0.82,0.36,0.56,0.63,0.83,0.94,0.24,0.84,0.73,0.77
sevenupdate.csv,0.99,0.0,1.0,1.0,0.97,1.0,1.0,1.0,0.96,0.7,1.0,1.0,0.94,1.0,1.0
web-cat.csv,0.79,0.0,0.94,1.0,0.86,0.78,0.91,0.89,0.94,0.79,0.78,0.73,0.72,0.72,0.26
