,qpe.csv,psycle.csv,acegisecurity.csv,mbse.csv,echongl.csv,xpontus.csv,ns-3-dev-def-routing.csv,v8.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,xamj.csv,wikipediardware.csv
acegisecurity.csv,0.17,0.24,0.96,0.41,0.51,0.03,0.38,0.56,0.21,0.63,0.38,0.46,0.6
echongl.csv,0.15,0.6,0.39,0.08,1.0,0.05,0.54,0.68,0.45,0.05,0.42,0.25,0.05
les-indemodables.csv,0.27,0.45,0.31,0.41,0.38,0.04,0.46,0.51,0.48,0.93,0.34,0.48,0.26
mbse.csv,0.15,0.65,0.18,0.95,0.42,0.05,0.47,0.64,0.53,0.32,0.42,0.49,0.37
ns-3-dev-def-routing.csv,0.29,0.43,0.29,0.39,0.44,0.0,0.99,0.46,0.37,0.44,0.35,0.27,0.68
psycle.csv,0.21,0.98,0.51,0.41,0.77,0.02,0.57,0.85,0.63,0.55,0.58,0.55,0.67
qpe.csv,0.92,0.25,0.34,0.03,0.11,0.0,0.22,0.32,0.41,0.39,0.3,0.25,0.22
simplewebservices.csv,0.11,0.47,0.39,0.47,0.32,0.0,0.31,0.68,0.34,0.36,0.98,0.4,0.57
v8.csv,0.14,0.77,0.31,0.39,0.83,0.04,0.56,1.0,0.58,0.51,0.62,0.5,0.82
wikipediardware.csv,0.16,0.73,0.44,0.41,0.79,0.02,0.55,0.82,0.61,0.52,0.58,0.49,0.99
wxstudio.csv,0.14,0.18,0.23,0.0,0.36,0.0,0.24,0.26,0.94,0.07,0.14,0.13,0.0
xamj.csv,0.15,0.73,0.45,0.39,0.71,0.0,0.49,0.73,0.49,0.4,0.43,0.98,0.77
