,qpe.csv,psycle.csv,acegisecurity.csv,mbse.csv,echongl.csv,xpontus.csv,ns-3-dev-def-routing.csv,v8.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,xamj.csv,wikipediardware.csv
acegisecurity.csv,0.11,0.76,1.0,0.4,0.8,0.02,0.43,0.96,0.23,0.53,0.45,0.48,0.76
echongl.csv,0.09,0.7,0.29,0.08,1.0,0.03,0.46,0.92,0.5,0.33,0.4,0.19,0.33
les-indemodables.csv,0.17,0.81,0.35,0.31,0.76,0.02,0.45,0.97,0.47,0.97,0.5,0.58,0.67
mbse.csv,0.09,0.64,0.17,1.0,0.74,0.03,0.42,0.96,0.53,0.35,0.45,0.64,0.62
ns-3-dev-def-routing.csv,0.19,0.82,0.31,0.34,0.91,0.0,1.0,0.95,0.39,0.38,0.41,0.38,0.81
psycle.csv,0.12,0.99,0.37,0.26,0.76,0.01,0.44,0.94,0.54,0.41,0.43,0.42,0.74
qpe.csv,0.97,0.57,0.24,0.08,0.6,0.0,0.37,0.95,0.5,0.5,0.28,0.33,0.71
simplewebservices.csv,0.08,0.65,0.37,0.33,0.49,0.0,0.34,0.94,0.3,0.37,1.0,0.32,0.89
v8.csv,0.08,0.65,0.3,0.25,0.72,0.02,0.39,1.0,0.42,0.35,0.55,0.49,0.74
wikipediardware.csv,0.09,0.73,0.28,0.26,0.71,0.01,0.4,0.94,0.56,0.37,0.42,0.34,0.97
wxstudio.csv,0.09,0.5,0.26,0.0,0.59,0.0,0.39,0.89,0.97,0.12,0.47,0.26,0.0
xamj.csv,0.09,0.64,0.3,0.29,0.71,0.0,0.37,0.95,0.38,0.34,0.38,1.0,0.71
