,qpe.csv,psycle.csv,acegisecurity.csv,mbse.csv,echongl.csv,xpontus.csv,ns-3-dev-def-routing.csv,v8.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,xamj.csv,wikipediardware.csv
acegisecurity.csv,0.42,0.17,0.93,0.47,0.41,0.81,0.38,0.44,0.22,0.74,0.37,0.48,0.51
echongl.csv,0.6,0.54,0.55,0.11,1.0,0.92,0.61,0.47,0.45,0.04,0.45,0.35,0.04
les-indemodables.csv,0.69,0.36,0.32,0.59,0.29,0.88,0.5,0.39,0.51,0.91,0.3,0.46,0.19
mbse.csv,0.51,0.52,0.23,0.93,0.33,0.92,0.53,0.51,0.56,0.34,0.43,0.45,0.29
ns-3-dev-def-routing.csv,0.62,0.33,0.32,0.49,0.34,0.0,0.98,0.34,0.38,0.51,0.35,0.25,0.59
psycle.csv,0.74,0.97,0.7,0.35,0.62,0.64,0.64,0.43,0.69,0.63,0.41,0.73,0.56
qpe.csv,0.89,0.19,0.48,0.02,0.07,0.0,0.19,0.24,0.39,0.36,0.33,0.24,0.16
simplewebservices.csv,0.21,0.4,0.44,0.71,0.26,0.0,0.33,0.51,0.37,0.39,0.97,0.53,0.47
v8.csv,0.05,0.13,0.36,0.32,0.13,0.87,0.0,1.0,0.24,0.13,0.68,0.54,0.44
wikipediardware.csv,0.6,0.66,0.37,0.35,0.13,0.13,0.43,0.57,0.66,0.47,0.37,0.56,0.99
wxstudio.csv,0.4,0.13,0.23,0.0,0.29,0.0,0.2,0.18,0.93,0.06,0.1,0.11,0.0
xamj.csv,0.58,0.34,0.55,0.57,0.51,0.0,0.51,0.58,0.44,0.48,0.48,0.97,0.26
