,qpe.csv,psycle.csv,acegisecurity.csv,mbse.csv,echongl.csv,xpontus.csv,ns-3-dev-def-routing.csv,v8.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,xamj.csv,wikipediardware.csv
acegisecurity.csv,15.0,0.0,0.0,5.0,0.0,43.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0
echongl.csv,0.0,0.0,7.0,0.0,0.0,35.0,2.0,0.0,5.0,2.0,0.0,0.0,1.0
les-indemodables.csv,0.0,0.0,6.0,6.0,1.0,27.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0
mbse.csv,66.0,2.0,8.0,0.0,0.0,16.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0
ns-3-dev-def-routing.csv,17.0,0.0,3.0,10.0,0.0,117.0,0.0,0.0,13.0,0.0,5.0,0.0,0.0
psycle.csv,0.0,0.0,1.0,5.0,0.0,66.0,1.0,0.0,0.0,2.0,0.0,6.0,0.0
qpe.csv,0.0,0.0,7.0,12.0,0.0,117.0,5.0,0.0,0.0,1.0,0.0,8.0,1.0
simplewebservices.csv,5.0,0.0,5.0,5.0,0.0,117.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
v8.csv,0.0,0.0,0.0,0.0,0.0,30.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0
wikipediardware.csv,0.0,0.0,12.0,3.0,0.0,92.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0
wxstudio.csv,33.0,2.0,6.0,262.0,0.0,117.0,1.0,2.0,0.0,14.0,0.0,2.0,51.0
xamj.csv,0.0,0.0,7.0,0.0,0.0,117.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
