,qpe.csv,psycle.csv,acegisecurity.csv,mbse.csv,echongl.csv,xpontus.csv,ns-3-dev-def-routing.csv,v8.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,xamj.csv,wikipediardware.csv
acegisecurity.csv,0.67,0.86,0.07,0.61,0.67,0.54,0.72,0.65,0.95,0.45,0.73,0.6,0.66
echongl.csv,0.7,0.64,0.7,0.98,0.0,0.3,0.6,0.83,0.67,0.97,0.73,0.9,0.98
les-indemodables.csv,0.42,0.7,0.75,0.59,0.78,0.4,0.64,0.68,0.66,0.11,0.76,0.6,0.87
mbse.csv,0.66,0.79,0.88,0.09,0.75,0.31,0.67,0.6,0.59,0.77,0.7,0.61,0.85
ns-3-dev-def-routing.csv,0.46,0.72,0.76,0.62,0.71,1.01,0.02,0.73,0.77,0.68,0.76,0.81,0.55
psycle.csv,0.59,0.04,0.58,0.9,0.69,0.74,0.68,0.87,0.55,0.69,0.87,0.52,0.69
qpe.csv,0.13,0.87,0.83,0.99,0.95,1.06,0.86,0.82,0.7,0.7,0.89,0.82,0.88
simplewebservices.csv,0.84,0.74,0.65,0.6,1.0,1.12,0.8,0.72,0.9,0.73,0.04,0.68,0.6
v8.csv,0.99,0.97,0.73,0.91,0.97,0.43,1.0,0.0,0.94,0.97,0.5,0.55,0.86
wikipediardware.csv,0.74,0.58,0.9,0.9,0.98,0.97,0.87,0.75,0.52,0.84,0.9,0.78,0.07
wxstudio.csv,0.72,0.91,0.83,1.0,0.88,1.01,0.85,0.9,0.08,0.97,0.92,0.92,1.0
xamj.csv,0.66,0.92,0.79,0.63,0.81,1.11,0.82,0.62,0.88,0.74,0.76,0.04,0.94
